,gene1,gene2,hap1.negative.gi,rpe1.negative.gi,hap1_early_effect_size,hap1_late_effect_size,rpe1_early_effect_size,rpe1_late_effect_size,hap1_gi_type,rpe1_gi_type
1,SEC23A,SEC23B,Negative,Negative,-3.028952801,-3.424526185,-2.306237784,-2.103824599,shared,shared
2,SAR1A,SAR1B,Negative,Negative,-2.89082732,-3.28814235,-1.680115255,-1.392617151,shared,unique_early
3,COQ10B,COQ10A,Negative,none,-2.86904347,-3.114457002,-0.990499313,-0.992758954,shared,none
4,AP2A2,AP2A1,Negative,none,-2.859159517,-2.949726399,-0.530460619,-0.122095405,shared,none
5,CUL4A,CUL4B,Negative,Negative,-2.842330466,-3.439328356,-1.82696589,-1.543943216,shared,shared
6,PITPNA,PITPNB,Negative,none,-2.834381736,-3.090842867,-1.169633401,-1.323852587,shared,none
7,LDHA,LDHB,Negative,none,-2.793009228,-2.581593587,-0.919464596,-0.949989035,shared,none
8,RAB1A,RAB1B,Negative,Negative,-2.664946715,-3.141019148,-1.849316444,-1.596547798,shared,shared
9,TIAL1,TIA1,Negative,none,-2.562091121,-2.770679861,0.793514262,0.946264079,shared,none
10,SPATA2,SPATA2L,Negative,Negative,-2.234040512,-1.885459952,-1.671958001,-1.470887298,shared,unique_early
11,CNOT7,CNOT8,Negative,none,-2.124989426,-1.898156939,-1.158205832,-1.108226024,unique_early,none
12,TTC7B,TTC7A,Negative,none,-2.12321478,-2.024869561,-1.18283016,-0.923925474,shared,none
13,TNKS2,TNKS,Negative,none,-2.089380216,-2.568252222,-1.029117244,-0.674570446,shared,none
14,TAF4,TAF4B,Negative,none,-2.065081635,-2.526780441,0.224465653,0.270629,shared,none
15,AP2B1,AP1B1,Negative,none,-2.056422212,-2.141719321,-0.269703828,0.172472609,shared,none
16,SLC25A37,SLC25A28,Negative,none,-2.053132403,-2.324523767,-0.249457174,-0.432067778,shared,none
17,PDS5A,PDS5B,Negative,none,-1.942062449,-1.690861096,-1.007379743,-1.16117744,unique_early,none
18,CCNL2,CCNL1,none,none,-1.903441409,-1.537357998,-1.442821776,-1.619111275,none,none
19,SLC16A1,SLC16A3,Negative,none,-1.881029013,-2.241832866,-0.20433612,0.266199228,shared,none
20,DOK1,DOK3,Negative,none,-1.870104169,-1.75969785,0.537528607,0.83578641,shared,none
21,GPR137,GPR137C,Negative,none,-1.869424742,-2.039677859,-0.511138422,-0.440341839,shared,none
22,CCNB1,CCNB2,Negative,none,-1.812177425,-1.713703785,-0.986536719,-0.840457506,shared,none
23,UAP1,UAP1L1,Negative,none,-1.750178714,-2.070289144,-0.14412277,0.090487521,shared,none
24,HNRNPH3,HNRNPF,Negative,Negative,-1.742129141,-1.494695674,-1.19940289,-0.857283681,shared,unique_early
25,TLK2,TLK1,Negative,none,-1.732687396,-1.508485909,0.04812319,0.031394424,shared,none
26,DBI,ACBD7,Negative,Negative,-1.683693401,-1.528315853,-1.573250672,-1.489568264,unique_early,unique_early
27,PTBP1,PTBP2,Negative,none,-1.674610429,-2.206082744,-0.388638409,-0.051952606,shared,none
28,ROCK2,ROCK1,Negative,Negative,-1.666760385,-1.630268445,-2.331658366,-2.877100068,shared,shared
29,STOX2,STOX1,Negative,none,-1.654876794,-1.439998308,-1.034745481,-0.71233092,shared,none
30,PTGS2,PTGS1,Negative,none,-1.6470517,-1.670061249,-0.236210403,-0.055687471,shared,none
31,STAM,STAM2,Negative,Negative,-1.621655385,-1.919913922,-1.391946922,-1.374199629,shared,shared
32,NDFIP2,NDFIP1,Negative,none,-1.577416659,-1.202204672,-0.032878498,0.312475261,unique_early,none
33,ARPC5,ARPC5L,Negative,none,-1.572267373,-1.833555276,-0.50661489,-0.112019647,unique_late,none
34,DERL2,DERL3,Negative,none,-1.563785693,-1.384228621,-1.15574824,-0.968907514,unique_early,none
35,CHD3,CHD5,Negative,Negative,-1.553972903,-1.895284441,-1.132927787,-0.68285348,shared,unique_early
36,TP53INP2,TP53INP1,none,none,-1.547723445,-0.783498497,0.580501296,-0.157475848,none,none
37,TNPO1,TNPO2,Negative,Negative,-1.537169892,-1.648249731,-1.111485375,-0.983093624,shared,unique_early
38,PAPSS1,PAPSS2,Negative,none,-1.530180948,-2.003695508,-0.73962727,-0.579796566,unique_late,none
39,ATXN1L,ATXN1,Negative,none,-1.525640101,-1.53919818,-0.23104074,0.446126587,shared,none
40,PPP2R5C,PPP2R5D,Negative,none,-1.505659177,-1.416276255,-0.3571365,0.070070436,shared,none
41,CCNT1,CCNT2,Negative,none,-1.497064033,-1.369872165,-0.195755505,0.090565282,unique_early,none
42,CTPS1,CTPS2,Negative,none,-1.476636913,-1.135247403,0.079968184,0.436836864,unique_early,none
43,RHOT2,RHOT1,none,none,-1.472632841,-1.829793591,-0.863901801,-0.593568123,none,none
44,SS18,SS18L1,Negative,none,-1.468523083,-1.79089778,-1.229384922,-1.342630494,unique_early,none
45,CDK2AP1,CDK2AP2,Negative,none,-1.449600526,-1.709502304,-1.382058631,-1.50814168,shared,none
46,SLC25A13,SLC25A12,Negative,none,-1.444349169,-1.974239792,-0.036474152,0.209663468,shared,none
47,RC3H2,RC3H1,Negative,none,-1.444179244,-1.419217851,-0.505779337,-0.574762679,shared,none
48,FBXW11,BTRC,Negative,Negative,-1.443539056,-1.544745691,-1.322023627,-1.391527029,shared,shared
49,SFXN4,SFXN5,Negative,none,-1.442975763,-1.414965726,-1.017174282,-0.741434036,shared,none
50,SSH1,SSH2,none,none,-1.426829931,-1.584732339,-0.600344119,-0.480659024,none,none
51,CHCHD3,CHCHD6,none,none,-1.424082204,-1.340194409,-1.317887408,-1.241902505,none,none
52,IMPDH2,IMPDH1,Negative,none,-1.422986082,-1.420223571,-0.06676145,-0.220696288,unique_late,none
53,MYC,MYCN,none,none,-1.418758609,-1.413082649,0.201854762,0.726952592,none,none
54,SPIRE1,SPIRE2,Negative,none,-1.410525553,-1.394043168,-0.538602331,-0.330256485,unique_early,none
55,MAP2K2,MAP2K1,Negative,none,-1.402490083,-1.817322127,-1.260778328,-1.093572279,shared,none
56,CSNK1D,CSNK1E,Negative,none,-1.39583576,-1.579976812,-1.351239685,-1.420249958,unique_early,none
57,ACTR1A,ACTR1B,none,none,-1.394547691,-0.978675419,-0.291129477,0.103223441,none,none
58,RHOBTB2,RHOBTB1,Negative,none,-1.384380198,-1.258708458,-0.567506223,-0.514458252,unique_early,none
59,LMO7,LIMCH1,Negative,none,-1.374836667,-0.942771821,-1.252027841,-1.142454446,shared,none
60,SP3,SP1,Negative,none,-1.371683607,-1.866539734,-0.061908735,0.223605397,shared,none
61,CAB39,CAB39L,Negative,none,-1.362150138,-1.364826461,-0.490102186,0.038891916,shared,none
62,APBA3,APBA2,Negative,none,-1.360599347,-1.058896275,-0.320988157,-0.283834837,unique_early,none
63,DNAJA1,DNAJA4,Negative,Negative,-1.337875532,-1.341725435,-0.840195293,-0.888029598,shared,shared
64,DDHD2,SEC23IP,Negative,none,-1.329865153,-1.375953455,0.905055301,1.589664664,shared,none
65,MECOM,PRDM16,Negative,none,-1.328243876,-1.400578879,-1.200644575,-1.159729178,shared,none
66,HOXB2,HOXA2,Negative,none,-1.308831746,-1.671071828,0.048788742,0.468430024,shared,none
67,STRADB,STRADA,Negative,none,-1.302097956,-1.862579066,0.48133765,0.45248894,shared,none
68,KCTD5,KCTD2,Negative,none,-1.293535831,-1.025195677,-1.049531262,-0.902556462,unique_early,none
69,SPARC,SPARCL1,Negative,Negative,-1.293309651,-0.93758772,-1.041706971,-1.139846076,shared,shared
70,GNPDA1,GNPDA2,Negative,Negative,-1.289614087,-1.289925347,-1.28490637,-1.004720624,shared,unique_early
71,PEX5,PEX5L,Negative,none,-1.273004173,-1.083559161,-0.305593888,0.161690778,shared,none
72,MSX1,MSX2,none,none,-1.265346086,-1.490108145,-0.018081197,0.001430348,none,none
73,IFRD2,IFRD1,Negative,Negative,-1.264188793,-1.597173195,-0.926142269,-1.001316716,shared,unique_early
74,TPM2,TPM1,Negative,none,-1.263942651,-1.352073467,0.018238844,0.109972478,shared,none
75,RBM26,RBM27,Negative,Negative,-1.252895126,-1.142243786,-1.320006625,-1.697837505,shared,shared
76,KIF1C,KIF1B,Negative,Negative,-1.251123837,-1.167208483,-1.136402294,-0.974979561,shared,unique_early
77,KMT2A,KMT2B,Negative,Negative,-1.238013966,-1.137291632,-0.781653058,-0.982100461,unique_early,unique_late
78,MIEF1,MIEF2,Negative,Negative,-1.233272164,-1.105578518,-0.84902368,-0.736031059,shared,unique_early
79,NEDD4L,NEDD4,Negative,none,-1.229237102,-0.916748615,1.363546051,1.519196047,unique_early,none
80,CSNK2A1,CSNK2A2,none,none,-1.22251717,-1.27371606,-1.15164792,-1.080592948,none,none
81,SPECC1,SPECC1L,Negative,none,-1.218983824,-1.053342377,-0.799763388,-0.556658629,unique_early,none
82,PSEN1,PSEN2,Negative,Negative,-1.214835721,-1.105022799,-1.445940271,-1.393016029,unique_late,shared
83,SEC31A,SEC31B,Negative,none,-1.214788416,-1.166797131,-0.943451805,-0.86083352,shared,none
84,PARP6,PARP8,Negative,Negative,-1.206692238,-1.315392402,-1.206430548,-1.156077239,shared,shared
85,PPIG,NKTR,Negative,none,-1.203839571,-1.243672056,-0.819752921,-0.887508924,unique_early,none
86,KLF13,KLF9,Negative,Negative,-1.199237163,-1.498779718,-1.19973143,-1.177327251,shared,shared
87,ARL8B,ARL8A,none,none,-1.186613034,-1.17351778,0.090918881,0.150125272,none,none
88,FAM102A,FAM102B,Negative,Negative,-1.177009782,-1.481676673,-1.440010757,-1.340634939,shared,shared
89,FBN1,FBN2,Negative,none,-1.164566244,-1.180599605,0.455399821,0.58233164,shared,none
90,YIF1B,YIF1A,Negative,none,-1.158667838,-1.184842821,-0.056593482,-0.037139013,unique_early,none
91,MED13,MED13L,Negative,none,-1.144369029,-1.475284019,-0.508876071,-0.615650569,shared,none
92,DVL1,DVL3,Negative,none,-1.143972496,-1.192878956,-0.438327579,-0.43329499,unique_early,none
93,CALB2,CALB1,Negative,none,-1.140174288,-1.143454389,-0.945798088,-0.577236071,shared,none
94,CASKIN2,CASKIN1,none,none,-1.139723727,-1.169167694,-0.286949774,-0.045352922,none,none
95,PDP1,PDP2,Negative,none,-1.135953276,-1.53345995,-0.631984375,-0.482213343,shared,none
96,RBM12,RBM12B,none,none,-1.130691972,-1.072489826,-0.443269148,0.049412361,none,none
97,PPIB,PPIC,Negative,none,-1.122782495,-1.27495031,-0.760799907,-0.530367576,shared,none
98,TRAK1,TRAK2,none,none,-1.116414975,-0.812934617,-0.227805629,0.430487442,none,none
99,SETD1A,SETD1B,none,Negative,-1.114741992,-0.976488711,-1.537814262,-1.86559893,none,shared
100,RNFT1,RNFT2,Negative,none,-1.113980311,-1.030717319,-0.466272871,-0.27047106,shared,none
101,VSNL1,HPCAL4,Negative,none,-1.109292592,-1.293610044,-1.19464924,-0.828375095,unique_late,none
102,TBC1D10B,TBC1D10A,Negative,none,-1.105010675,-1.396555246,-1.390550931,-1.19119324,shared,none
103,STX10,STX6,none,none,-1.09658456,-1.396108091,0.035943036,0.036333417,none,none
104,ENO1,ENO2,Negative,Negative,-1.096413124,-1.551117407,-0.953643968,-1.009756792,shared,shared
105,ZNF609,ZNF608,Negative,none,-1.095850869,-0.51601736,-0.959390507,-0.719222808,unique_early,none
106,TSPAN4,TSPAN9,none,none,-1.08864848,-1.071986106,-0.873529476,-1.577748963,none,none
107,STK38L,STK38,none,Positive,-1.088226806,-0.45513097,1.648507522,2.221061086,none,shared
108,POC1A,POC1B,none,none,-1.083770816,-0.197635575,1.015610867,1.316681395,none,none
109,AGPAT3,AGPAT4,Negative,none,-1.077118338,-1.543211066,0.460223449,0.996252427,unique_late,none
110,SLC25A36,SLC25A33,Negative,none,-1.064566098,-1.360825493,-0.154677971,0.074389588,shared,none
111,SERINC3,SERINC2,Negative,Negative,-1.059969217,-1.210231524,-1.526380103,-1.23844784,shared,shared
112,KLHL2,KLHL3,Negative,none,-1.058375721,-0.404504119,-0.852867154,-0.73184151,unique_early,none
113,ANK3,ANK2,Negative,none,-1.056683783,-1.226250777,-0.892231883,-0.561248932,shared,none
114,TTC39A,TTC39B,Negative,none,-1.052388907,-1.230452615,-0.687444862,-0.542311003,shared,none
115,RALGPS2,RALGPS1,Negative,none,-1.051281754,-0.830563569,-0.344793641,0.339716938,unique_early,none
116,TOP1,TOP1MT,none,none,-1.049384397,-1.183636904,-1.864732258,-1.577078704,none,none
117,NDE1,NDEL1,Negative,none,-1.045292688,-1.114820385,-0.553115838,-0.506668119,unique_late,none
118,PPFIA1,PPFIA3,Negative,none,-1.039368148,-1.184642109,-0.640243369,-0.50172226,unique_late,none
119,PI4K2B,PI4K2A,Negative,none,-1.034458361,-0.522151779,0.135561743,0.242170088,unique_early,none
120,H2AFY,H2AFY2,none,none,-1.033594669,-0.986932687,-0.912797857,-0.609212819,none,none
121,SCAF4,SCAF8,Negative,Negative,-1.031637791,-1.382581466,-0.911369656,-0.626432733,shared,unique_early
122,CREBBP,EP300,Negative,none,-1.02715029,-0.772344002,-0.315437462,-0.205925349,unique_early,none
123,ENSA,ARPP19,none,none,-1.024949528,0.014719508,-1.089240769,-0.851612704,none,none
124,MAN2A2,MAN2A1,Negative,none,-1.022097209,-0.648704513,0.817149641,0.943677585,unique_early,none
125,CC2D1B,CC2D1A,none,none,-1.018090347,-1.203492093,-0.285882901,0.077038204,none,none
126,ENTPD6,ENTPD5,Negative,none,-1.017973566,-0.975642003,-0.137880533,0.33777246,shared,none
127,SEC11A,SEC11C,none,none,-1.017578413,-0.34614403,-0.127707958,-0.040613701,none,none
128,PLOD1,PLOD2,Negative,Negative,-1.017455256,-1.364270136,-1.199023918,-0.73437836,shared,unique_early
129,NUCB1,NUCB2,Negative,Negative,-1.014143172,-1.452975271,-1.219890804,-1.082358564,shared,shared
130,SEC24C,SEC24D,none,none,-1.011721841,-0.74974135,-1.191021258,-1.085000433,none,none
131,STAU1,STAU2,Negative,Negative,-1.011575441,-1.125036241,-1.310127254,-1.054783823,shared,shared
132,SOCS4,SOCS5,none,none,-1.011504238,-1.020479552,0.111019243,0.233475268,none,none
133,EHBP1,EHBP1L1,Negative,none,-1.009605544,-0.90841516,1.186122798,0.811225,unique_early,none
134,ZNF503,ZNF703,Negative,none,-1.00711755,-1.126790366,0.559470105,0.852099697,unique_late,none
135,AK1,AK5,Negative,none,-1.006900633,-1.053967802,-0.627939026,-0.67881574,unique_early,none
136,MLXIP,MLXIPL,Negative,none,-1.006600203,-0.359925217,-0.723571026,-0.38097255,unique_early,none
137,SUN1,SUN2,Negative,none,-1.004755867,-1.316648209,-0.039631298,0.232045647,shared,none
138,RRAS2,RRAS,none,none,-1.000109785,-0.343447109,0.620336281,0.979931294,none,none
139,MEIS2,MEIS1,Negative,Negative,-0.999542116,-1.173232109,-1.135964484,-0.886504184,unique_early,unique_early
140,CHD1,CHD2,Negative,Negative,-0.998148059,-1.195859966,-1.060163431,-1.123947389,shared,shared
141,KIAA1217,SRCIN1,none,none,-0.994052124,-1.041306571,0.467201309,0.458054902,none,none
142,TMC6,TMC5,none,none,-0.990521561,-0.815221316,-0.727476451,-0.374227209,none,none
143,RAB39A,RAB39B,Negative,none,-0.987309512,-1.551836918,-0.734488888,-0.454550612,shared,none
144,EIF4EBP1,EIF4EBP2,none,none,-0.987001536,-0.459128997,0.604695253,0.64035225,none,none
145,ADAP2,ADAP1,none,none,-0.986053275,-0.389108108,-0.733023132,-0.581305249,none,none
146,PLPPR3,PLPPR4,Negative,Negative,-0.98302822,-0.844803229,-1.140352397,-0.900557212,unique_early,unique_early
147,TBX3,TBX2,Negative,Negative,-0.980368139,-1.171999711,-1.109827317,-1.230769922,shared,shared
148,ANO4,ANO5,Negative,none,-0.977442845,-0.962506258,-0.892874408,-0.835474155,shared,none
149,UNK,UNKL,Negative,none,-0.975644361,-0.784904653,-0.342481343,-0.220864221,unique_early,none
150,CD151,TSPAN11,none,none,-0.96996342,-1.358230696,-0.712349214,-0.317385031,none,none
151,TSPAN6,TSPAN7,none,Negative,-0.968781778,-1.041084359,-0.926946985,-0.540709176,none,unique_early
152,FOXN3,FOXN2,Negative,none,-0.964620821,-1.143417733,0.165544846,-0.310107485,shared,none
153,KDM6B,BRD4,Negative,none,-0.96194581,-1.181870039,-0.51543079,-0.086747157,shared,none
154,ARF4,ARF5,none,none,-0.958451704,-1.435543241,-1.501727775,-0.929029083,none,none
155,FAM126A,FAM126B,Negative,none,-0.957654507,-1.049236132,-0.337835698,-0.318322849,unique_late,none
156,PHLDB1,PHLDB3,none,none,-0.954539759,-1.038394221,-0.468359225,-0.042775405,none,none
157,RAB4A,RAB4B,none,Negative,-0.953996553,-0.905636303,-1.587695986,-0.885845247,none,unique_early
158,ADAMTS6,ADAMTS10,Negative,Negative,-0.950893549,-0.429381073,-0.916736854,-0.960758795,unique_early,shared
159,PAFAH1B2,PAFAH1B3,Negative,Negative,-0.950824298,-1.111007032,-1.44075577,-1.22158171,unique_late,unique_early
160,PRRX1,PRRX2,none,none,-0.950625377,-0.301098773,-1.13405199,-0.791231234,none,none
161,CBX1,CBX5,none,none,-0.946266959,-1.262148587,-0.285901252,0.170015961,none,none
162,KLHL9,KLHL26,Negative,none,-0.945418208,-0.844039388,-0.274848935,0.004969704,shared,none
163,YIPF2,YIPF1,Negative,none,-0.941414342,-1.515644563,-0.522601339,-0.68329518,unique_late,none
164,PPP1R14B,PPP1R14A,none,none,-0.931973404,-1.048592862,-1.88497063,-1.844304178,none,none
165,MPRIP,TRIOBP,Negative,none,-0.931297533,-1.260199823,-0.322394074,-0.137040064,shared,none
166,ARID1A,ARID1B,Negative,none,-0.926878583,-0.89845532,-0.479498819,-0.315308904,unique_early,none
167,SEC24B,SEC24A,Negative,none,-0.922814116,-1.524812859,-0.409518097,-0.265634982,unique_late,none
168,SLC9A5,SLC9A3,Negative,none,-0.921268355,-1.050380192,-0.246623683,-0.102305925,shared,none
169,FGF2,FGF1,Negative,none,-0.920884634,-1.243938242,-0.409177266,0.115081066,unique_late,none
170,MOB1A,MOB1B,Negative,none,-0.917361024,-1.530246424,1.300973198,1.45582291,shared,none
171,CCNA2,CCNA1,none,none,-0.915341309,-0.741798726,-0.817172646,-0.495997714,none,none
172,VAPA,VAPB,Negative,none,-0.912878606,-0.576488052,-0.127869442,-0.255102733,unique_early,none
173,MAP3K3,MAP3K2,Negative,none,-0.908570837,-0.491537557,-0.548835776,-0.106756508,unique_early,none
174,KDM2A,KDM2B,none,none,-0.904040006,-0.342326852,-0.757383651,-0.336557032,none,none
175,ABL1,ABL2,none,Negative,-0.902811538,-1.190514889,-1.192545152,-1.008786089,none,unique_early
176,AMOTL2,AMOT,Negative,none,-0.899973264,-1.494986415,-0.39675125,-0.312096386,unique_late,none
177,UBE2Q1,UBE2Q2,none,Negative,-0.897854654,-1.172871897,-1.295358832,-1.192111411,none,unique_early
178,PRPSAP1,PRPSAP2,Negative,none,-0.897048634,-0.644272796,0.091592168,-0.230762621,unique_early,none
179,PIP4K2B,PIP4K2A,Negative,none,-0.89621734,-1.43126295,-0.163853072,0.284697465,shared,none
180,FLNB,FLNC,none,none,-0.895548503,-1.146608782,-0.437035739,-0.320440047,none,none
181,SLC24A1,SLC24A2,Negative,none,-0.887112486,-1.187003698,-0.678189881,-0.604966395,unique_late,none
182,ELMOD2,ELMOD1,Negative,none,-0.88289542,-1.421238957,-0.068068459,0.299449282,shared,none
183,CNKSR3,CNKSR1,Negative,none,-0.881357511,-0.863118407,-0.588709349,-0.342929162,unique_early,none
184,ZMIZ2,ZMIZ1,Negative,none,-0.881045796,-0.885348621,-0.06105637,0.372729384,shared,none
185,OSR2,OSR1,Negative,none,-0.875969661,-0.850124719,-0.559888758,-0.444377707,shared,none
186,APLP2,APLP1,Negative,none,-0.87354051,-1.060171058,0.586464393,0.920901368,unique_late,none
187,CLCN3,CLCN4,Negative,none,-0.871575908,-0.921376716,-0.530669714,-0.29398604,shared,none
188,GPC1,GPC6,none,none,-0.867131661,-0.518795621,0.585270035,0.710697934,none,none
189,ENOX2,ENOX1,Negative,Negative,-0.861955568,-0.799287435,-1.010692249,-1.018193008,shared,shared
190,MBNL2,MBNL3,Negative,none,-0.860780547,-0.539699609,-0.589465839,-0.489304842,shared,none
191,ZNRF3,RNF43,Negative,none,-0.857645958,-1.006903732,-0.662317952,-0.586337368,unique_early,none
192,LSM14A,LSM14B,Negative,Negative,-0.854593635,-1.094847877,-1.254639135,-0.96483847,unique_late,unique_early
193,KSR1,KSR2,Negative,none,-0.850183931,-0.332996715,-0.700430155,-0.641996907,unique_early,none
194,USP31,USP43,none,Negative,-0.849668455,-0.933428163,-0.991463364,-0.492855489,none,unique_early
195,TRIP6,LPP,Negative,none,-0.84868627,-1.385850392,-0.291342291,-0.084403627,unique_late,none
196,KIF5B,KIF5C,Negative,none,-0.844356961,-0.600400405,-0.246873728,0.144762377,unique_early,none
197,WDR62,MAPKBP1,Negative,none,-0.841933012,-0.5080164,0.12795072,0.204352643,unique_early,none
198,EXOC6,EXOC6B,Negative,Negative,-0.841859057,-0.983816344,-1.122091907,-0.929114728,shared,unique_early
199,GNL3,GNL3L,none,none,-0.841061139,-0.92346025,-0.047078115,-0.351522977,none,none
200,ARHGEF7,ARHGEF6,Negative,none,-0.841008757,-1.065030114,-0.423868144,-0.192081054,shared,none
201,PIEZO1,PIEZO2,none,none,-0.838627531,-0.669724262,-0.017264905,0.447338641,none,none
202,MYBL1,MYB,none,none,-0.836160466,-0.594586249,-1.208971148,-0.893781893,none,none
203,HOXB7,HOXA7,Negative,none,-0.834520716,-0.796766778,-0.717583451,-0.58252561,unique_early,none
204,SPSB1,SPSB4,none,none,-0.830298221,-0.912420935,-0.502740252,-0.611745359,none,none
205,TOB1,TOB2,none,none,-0.826851909,-0.898608607,-0.351507417,-0.10829016,none,none
206,WASF2,WASF1,Negative,none,-0.822529858,-0.70915477,-1.133062111,-0.775111355,unique_early,none
207,ELAVL1,ELAVL2,none,none,-0.820866907,-1.007762369,-0.21752995,0.140371533,none,none
208,RNF167,RNF13,Negative,none,-0.820862653,-1.028138688,0.215027924,0.239072838,shared,none
209,FBXO25,FBXO32,none,none,-0.817180617,-1.114198645,-0.720929682,-0.790572215,none,none
210,PKN2,PKN3,none,none,-0.816869248,-0.352685408,0.000101098,0.497889749,none,none
211,MACROD1,MACROD2,Negative,none,-0.81414209,-1.320932252,-0.734649076,-0.27783565,unique_late,none
212,SFXN1,SFXN3,Negative,Negative,-0.812702435,-0.832765438,-0.945098763,-0.397373258,unique_early,unique_early
213,CDKL3,CDKL2,none,none,-0.811821826,-0.872448999,-0.721695431,-0.680525753,none,none
214,PARVB,PARVA,none,none,-0.811217296,-0.918285345,-0.344171314,0.192395859,none,none
215,ALMS1,C10orf90,Negative,none,-0.803141098,-0.803031347,-0.228123136,-0.696573918,unique_early,none
216,CHIC2,CHIC1,Negative,none,-0.802717732,-0.862196518,-0.077031495,0.246129606,shared,none
217,PRKCD,PRKCQ,Negative,none,-0.800494761,-0.552289565,0.642111628,0.829296034,unique_early,none
218,SEC61A1,SEC61A2,Negative,none,-0.800087963,-0.692968865,-0.514622437,-0.206794653,unique_early,none
