V1,V3,V4,gene1,gene2,hct116.T21.gi.GEMINI,GM.T15.gi.GEMINI,hct116.significant.GEMINI,GM12878.significant.GEMINI
choose,ENSG00000146463,ENSG00000121741,ZMYM4,ZMYM2,-0.226,0.031,N,N
choose,ENSG00000172932,ENSG00000076513,ANKRD13D,ANKRD13A,0.004,0.163,N,N
choose,ENSG00000167968,ENSG00000213918,DNASE1L2,DNASE1,-0.091,0.629,N,N
choose,ENSG00000007384,ENSG00000129667,RHBDF1,RHBDF2,0.004,0.251,N,N
choose,ENSG00000123124,ENSG00000198373,WWP1,WWP2,-0.234,0.027,N,N
gi2,ENSG00000171552,ENSG00000104885,BCL2L1,DOT1L,-2.494,0.217,N,N
choose,ENSG00000173889,ENSG00000111752,PHC3,PHC1,-0.442,0.023,N,N
choose,ENSG00000175984,ENSG00000166444,DENND2C,ST5,0.161,0.036,N,N
choose,ENSG00000133065,ENSG00000136052,SLC41A1,SLC41A2,0.39,-0.262,N,N
choose,ENSG00000131389,ENSG00000010379,SLC6A6,SLC6A13,-0.129,0.021,N,N
choose,ENSG00000104388,ENSG00000129472,RAB2A,RAB2B,-0.311,0.1,N,N
choose,ENSG00000119699,ENSG00000105329,TGFB3,TGFB1,-0.116,0.011,N,N
choose,ENSG00000162599,ENSG00000008441,NFIA,NFIX,-0.214,0.005,N,N
choose,ENSG00000095383,ENSG00000167202,TBC1D2,TBC1D2B,-0.006,0.238,N,N
choose,ENSG00000149798,ENSG00000163171,CDC42EP2,CDC42EP3,0.064,0.102,N,N
choose,ENSG00000007255,ENSG00000182400,TRAPPC6A,TRAPPC6B,0.097,0.027,N,N
choose,ENSG00000182256,ENSG00000113327,GABRG3,GABRG2,0.076,0.201,N,N
choose,ENSG00000100888,ENSG00000124177,CHD8,CHD6,-0.224,-0.185,N,N
choose,ENSG00000107164,ENSG00000088247,FUBP3,KHSRP,-0.176,0.006,N,N
choose,ENSG00000143924,ENSG00000066629,EML4,EML1,-0.221,0.089,N,N
choose,ENSG00000151148,ENSG00000009335,UBE3B,UBE3C,-0.07,0.33,N,N
choose,ENSG00000142082,ENSG00000068903,SIRT3,SIRT2,0.123,-0.036,N,N
choose,ENSG00000135547,ENSG00000164683,HEY2,HEY1,-0.011,-0.141,N,N
choose,ENSG00000142611,ENSG00000085276,PRDM16,MECOM,-0.104,0.645,N,N
choose,ENSG00000144674,ENSG00000173230,GOLGA4,GOLGB1,-0.175,0.509,N,N
choose,ENSG00000116209,ENSG00000105696,TMEM59,TMEM59L,0.23,0.259,N,N
gi2,ENSG00000173020,ENSG00000148218,ADRBK1,ALAD,0.226,0.827,N,N
choose,ENSG00000104219,ENSG00000102383,ZDHHC2,ZDHHC15,0.015,-0.168,N,N
choose,ENSG00000167191,ENSG00000170412,GPRC5B,GPRC5C,0.05,0.216,N,N
choose,ENSG00000115289,ENSG00000185619,PCGF1,PCGF3,-0.169,-0.004,N,N
choose,ENSG00000077522,ENSG00000130402,ACTN2,ACTN4,-0.011,0.159,N,N
choose,ENSG00000137802,ENSG00000075702,MAPKBP1,WDR62,0.252,0.404,N,N
choose,ENSG00000003987,ENSG00000102043,MTMR7,MTMR8,-0.158,0.287,N,N
choose,ENSG00000158773,ENSG00000105698,USF1,USF2,-0.387,-1.083,N,N
choose,ENSG00000162650,ENSG00000163635,ATXN7L2,ATXN7,0.259,0.031,N,N
gi1,ENSG00000012048,ENSG00000143799,BRCA1,PARP1,-0.49,-0.993,N,N
gi2,ENSG00000182866,ENSG00000107968,LCK,MAP3K8,-0.062,-0.082,N,N
choose,ENSG00000111348,ENSG00000141522,ARHGDIB,ARHGDIA,0.031,-0.063,N,N
choose,ENSG00000081277,ENSG00000184363,PKP1,PKP3,-0.085,-0.059,N,N
choose,ENSG00000106404,ENSG00000189143,CLDN15,CLDN4,0.45,0.028,N,N
choose,ENSG00000116005,ENSG00000145882,PCYOX1,PCYOX1L,0.099,0.362,N,N
choose,ENSG00000065060,ENSG00000111647,UHRF1BP1,UHRF1BP1L,-0.014,0.163,N,N
choose,ENSG00000215897,ENSG00000130584,ZBTB8B,ZBTB46,0.136,0.001,N,N
choose,ENSG00000146856,ENSG00000165923,AGBL3,AGBL2,-0.06,0.294,N,N
choose,ENSG00000115762,ENSG00000021300,PLEKHB2,PLEKHB1,-0.237,0.464,N,N
choose,ENSG00000116016,ENSG00000124440,EPAS1,HIF3A,0.13,0.167,N,N
choose,ENSG00000138678,ENSG00000158669,AGPAT9,AGPAT6,-0.173,-0.493,N,N
choose,ENSG00000135083,ENSG00000107443,CCNJL,CCNJ,0.008,0.143,N,N
choose,ENSG00000116396,ENSG00000129159,KCNC4,KCNC1,0.118,0.215,N,N
choose,ENSG00000113263,ENSG00000010671,ITK,BTK,-0.285,-0.242,N,N
choose,ENSG00000083444,ENSG00000106397,PLOD1,PLOD3,-0.083,-0.083,N,N
choose,ENSG00000105717,ENSG00000185630,PBX4,PBX1,-0.053,0.528,N,N
choose,ENSG00000088387,ENSG00000147251,DOCK9,DOCK11,0.289,0.016,N,N
choose,ENSG00000186001,ENSG00000130224,LRCH3,LRCH2,-0.074,0.037,N,N
choose,ENSG00000160808,ENSG00000196465,MYL3,MYL6B,-0.098,0.026,N,N
choose,ENSG00000164663,ENSG00000136014,USP49,USP44,0.148,0.5,N,N
choose,ENSG00000054965,ENSG00000152102,FAM168A,FAM168B,0.129,0.038,N,N
choose,ENSG00000179387,ENSG00000110675,ELMOD2,ELMOD1,0.157,-0.127,N,N
choose,ENSG00000140396,ENSG00000124151,NCOA2,NCOA3,-0.237,-0.309,N,N
choose,ENSG00000170759,ENSG00000155980,KIF5B,KIF5A,-0.011,0.066,N,N
choose,ENSG00000115365,ENSG00000132434,LANCL1,LANCL2,0.01,0.419,N,N
choose,ENSG00000113761,ENSG00000165061,ZNF346,ZMAT4,-0.086,0.034,N,N
choose,ENSG00000144045,ENSG00000089876,DQX1,DHX32,0.046,-0.074,N,N
choose,ENSG00000119314,ENSG00000011304,PTBP3,PTBP1,-0.995,0.249,N,N
gi2,ENSG00000253729,ENSG00000100300,PRKDC,TSPO,-0.393,-0.575,N,N
choose,ENSG00000137942,ENSG00000125733,FNBP1L,TRIP10,-0.087,0.104,N,N
choose,ENSG00000180138,ENSG00000113712,CSNK1A1L,CSNK1A1,0.012,-0.473,N,N
gi2,ENSG00000135409,ENSG00000182866,AMHR2,LCK,-0.165,0.091,N,N
gi2,ENSG00000135409,ENSG00000067606,AMHR2,PRKCZ,-0.178,0.771,N,N
choose,ENSG00000114316,ENSG00000102226,USP4,USP11,-0.096,0.244,N,N
choose,ENSG00000147862,ENSG00000008441,NFIB,NFIX,-0.062,-0.001,N,N
choose,ENSG00000143702,ENSG00000099814,CEP170,CEP170B,0.098,0.081,N,N
choose,ENSG00000084652,ENSG00000086712,TXLNA,TXLNG,-0.309,0.122,N,N
choose,ENSG00000122642,ENSG00000141756,FKBP9,FKBP10,-0.016,0.222,N,N
choose,ENSG00000184787,ENSG00000132388,UBE2G2,UBE2G1,0.415,0.451,N,N
choose,ENSG00000172037,ENSG00000091136,LAMB2,LAMB1,0.096,-0.146,N,N
choose,ENSG00000197283,ENSG00000136848,SYNGAP1,DAB2IP,-0.046,-0.201,N,N
gi2,ENSG00000182866,ENSG00000007171,LCK,NOS2,0.165,-0.194,N,N
choose,ENSG00000083097,ENSG00000142197,DOPEY1,DOPEY2,-0.207,-0.018,N,N
choose,ENSG00000048028,ENSG00000155313,USP28,USP25,-0.088,-0.1,N,N
choose,ENSG00000196781,ENSG00000065717,TLE1,TLE2,-0.04,-0.039,N,N
gi1,ENSG00000253729,ENSG00000149311,PRKDC,ATM,-0.467,-0.51,N,N
choose,ENSG00000067208,ENSG00000142459,EVI5,EVI5L,-0.207,0.387,N,N
choose,ENSG00000117069,ENSG00000160408,ST6GALNAC5,ST6GALNAC6,0.007,0.074,N,N
choose,ENSG00000170967,ENSG00000197312,DDI1,DDI2,-0.743,0.641,N,N
choose,ENSG00000146247,ENSG00000165288,PHIP,BRWD3,-0.06,-0.028,N,N
choose,ENSG00000112511,ENSG00000119403,PHF1,PHF19,-0.194,0.098,N,N
choose,ENSG00000187244,ENSG00000076706,BCAM,MCAM,-0.116,0.25,N,N
choose,ENSG00000084676,ENSG00000124151,NCOA1,NCOA3,0.025,-0.369,N,N
gi2,ENSG00000070808,ENSG00000104936,CAMK2A,DMPK,-0.171,0.465,N,N
gi2,ENSG00000139626,ENSG00000182866,ITGB7,LCK,0.064,0.077,N,N
gi2,ENSG00000186204,ENSG00000101213,CYP4F12,PTK6,-0.007,0.427,N,N
choose,ENSG00000167800,ENSG00000184058,TBX10,TBX1,-0.099,-0.165,N,N
choose,ENSG00000156875,ENSG00000148110,HIAT1,HIATL1,-0.288,-0.227,N,N
gi2,ENSG00000158571,ENSG00000143179,PFKFB1,UCK2,-0.274,0.083,N,N
choose,ENSG00000169860,ENSG00000165621,P2RY1,OXGR1,-0.071,0.279,N,N
choose,ENSG00000141380,ENSG00000184402,SS18,SS18L1,-0.527,-0.007,N,N
choose,ENSG00000163520,ENSG00000077942,FBLN2,FBLN1,-0.038,0.036,N,N
choose,ENSG00000156398,ENSG00000164466,SFXN2,SFXN1,-0.709,-0.189,N,N
choose,ENSG00000084234,ENSG00000142192,APLP2,APP,-0.155,-0.251,N,N
choose,ENSG00000069020,ENSG00000099308,MAST4,MAST3,-0.09,-0.087,N,N
choose,ENSG00000072422,ENSG00000008853,RHOBTB1,RHOBTB2,-0.135,0.019,N,N
choose,ENSG00000075340,ENSG00000148700,ADD2,ADD3,-0.016,-0.215,N,N
choose,ENSG00000161638,ENSG00000005961,ITGA5,ITGA2B,-0.102,0.413,N,N
choose,ENSG00000151240,ENSG00000066084,DIP2C,DIP2B,0.126,0.122,N,N
choose,ENSG00000136653,ENSG00000068028,RASSF5,RASSF1,-0.124,0.078,N,N
choose,ENSG00000168389,ENSG00000205639,MFSD2A,MFSD2B,-0.179,-0.021,N,N
choose,ENSG00000072518,ENSG00000007047,MARK2,MARK4,-0.082,0.158,N,N
choose,ENSG00000100422,ENSG00000188452,CERK,CERKL,0.125,-0.312,N,N
choose,ENSG00000164031,ENSG00000148719,DNAJB14,DNAJB12,-0.091,0.063,N,N
choose,ENSG00000115221,ENSG00000150093,ITGB6,ITGB1,-0.342,-0.247,N,N
choose,ENSG00000144644,ENSG00000139631,GADL1,CSAD,0.114,-0.036,N,N
choose,ENSG00000134352,ENSG00000119535,IL6ST,CSF3R,0.012,0.024,N,N
choose,ENSG00000096968,ENSG00000105639,JAK2,JAK3,-0.007,0.066,N,N
choose,ENSG00000160094,ENSG00000126746,ZNF362,ZNF384,-0.305,-0.043,N,N
choose,ENSG00000129292,ENSG00000025293,PHF20L1,PHF20,-0.164,0.135,N,N
choose,ENSG00000115295,ENSG00000105270,CLIP4,CLIP3,0.089,0.406,N,N
choose,ENSG00000164078,ENSG00000105976,MST1R,MET,0.159,0.294,N,N
choose,ENSG00000213347,ENSG00000119950,MXD3,MXI1,-0.424,-0.27,N,N
choose,ENSG00000088179,ENSG00000070159,PTPN4,PTPN3,0.201,-0.105,N,N
choose,ENSG00000059377,ENSG00000106258,TBXAS1,CYP3A5,0.259,0.342,N,N
choose,ENSG00000162924,ENSG00000173039,REL,RELA,-0.415,0.206,N,N
gi2,ENSG00000123454,ENSG00000167900,DBH,TK1,0.147,0.096,N,N
choose,ENSG00000102572,ENSG00000134602,STK24,MST4,0.124,0.366,N,N
choose,ENSG00000113580,ENSG00000169083,NR3C1,AR,-0.271,0.273,N,N
choose,ENSG00000135926,ENSG00000135472,TMBIM1,FAIM2,-0.332,0.029,N,N
choose,ENSG00000148377,ENSG00000067064,IDI2,IDI1,0.148,0.093,N,N
choose,ENSG00000136830,ENSG00000135842,FAM129B,FAM129A,-0.052,0.059,N,N
choose,ENSG00000111859,ENSG00000087589,NEDD9,CASS4,-0.104,0.34,N,N
choose,ENSG00000143126,ENSG00000075275,CELSR2,CELSR1,0.033,0.391,N,N
choose,ENSG00000178662,ENSG00000144655,CSRNP3,CSRNP1,-0.159,-0.015,N,N
choose,ENSG00000122779,ENSG00000197323,TRIM24,TRIM33,-0.722,0.105,N,N
choose,ENSG00000072736,ENSG00000131196,NFATC3,NFATC1,-0.049,0.084,N,N
choose,ENSG00000189401,ENSG00000155100,OTUD6A,OTUD6B,-0.135,0.482,N,N
choose,ENSG00000069424,ENSG00000170049,KCNAB2,KCNAB3,-0.114,0.002,N,N
choose,ENSG00000114268,ENSG00000170525,PFKFB4,PFKFB3,-0.189,0.478,N,N
choose,ENSG00000163697,ENSG00000113108,APBB2,APBB3,-0.118,0.173,N,N
choose,ENSG00000060982,ENSG00000105552,BCAT1,BCAT2,-0.034,0.109,N,N
choose,ENSG00000150630,ENSG00000112715,VEGFC,VEGFA,-0.01,-0.17,N,N
choose,ENSG00000137486,ENSG00000120500,ARRB1,ARR3,-0.29,0.196,N,N
choose,ENSG00000166900,ENSG00000099365,STX3,STX1B,0.062,0.034,N,N
choose,ENSG00000130818,ENSG00000174652,ZNF426,ZNF266,0.257,-0.027,N,N
choose,ENSG00000158161,ENSG00000104313,EYA3,EYA1,-0.257,-0.207,N,N
choose,ENSG00000186496,ENSG00000172466,ZNF396,ZNF24,-0.385,-0.258,N,N
choose,ENSG00000164176,ENSG00000140545,EDIL3,MFGE8,-0.227,-0.117,N,N
choose,ENSG00000116991,ENSG00000197555,SIPA1L2,SIPA1L1,0.135,0.224,N,N
choose,ENSG00000172986,ENSG00000151233,GXYLT2,GXYLT1,-0.211,-0.206,N,N
choose,ENSG00000092841,ENSG00000196465,MYL6,MYL6B,-0.014,-0.011,N,N
choose,ENSG00000163554,ENSG00000197694,SPTA1,SPTAN1,0.116,0.068,N,N
choose,ENSG00000139209,ENSG00000017483,SLC38A4,SLC38A5,-0.173,0.024,N,N
gi2,ENSG00000100823,ENSG00000149311,APEX1,ATM,-0.316,0.318,N,N
choose,ENSG00000137221,ENSG00000183092,TJAP1,BEGAIN,-0.18,0.472,N,N
choose,ENSG00000137976,ENSG00000105612,DNASE2B,DNASE2,0.218,0.178,N,N
choose,ENSG00000180902,ENSG00000166816,D2HGDH,LDHD,-0.332,-0.018,N,N
choose,ENSG00000135766,ENSG00000269858,EGLN1,EGLN2,-0.529,0.401,N,N
choose,ENSG00000003989,ENSG00000139514,SLC7A2,SLC7A1,0.029,-0.459,N,N
choose,ENSG00000160678,ENSG00000171643,S100A1,S100Z,-0.127,0.667,N,N
choose,ENSG00000122121,ENSG00000108039,XPNPEP2,XPNPEP1,-0.417,0.1,N,N
choose,ENSG00000187866,ENSG00000156504,FAM122A,FAM122B,0.124,0.274,N,N
choose,ENSG00000083444,ENSG00000152952,PLOD1,PLOD2,-0.185,0.246,N,N
choose,ENSG00000196482,ENSG00000119715,ESRRG,ESRRB,-0.014,-0.12,N,N
choose,ENSG00000198369,ENSG00000166068,SPRED2,SPRED1,-0.054,-0.15,N,N
choose,ENSG00000196526,ENSG00000169129,AFAP1,AFAP1L2,-0.163,0.175,N,N
choose,ENSG00000198837,ENSG00000174485,DENND4B,DENND4A,-0.11,0.694,N,N
choose,ENSG00000164089,ENSG00000175309,ETNPPL,PHYKPL,-0.072,0.178,N,N
gi2,ENSG00000100823,ENSG00000253729,APEX1,PRKDC,-0.435,-0.487,N,N
choose,ENSG00000162873,ENSG00000185909,KLHDC8A,KLHDC8B,-0.028,0.079,N,N
choose,ENSG00000083857,ENSG00000086570,FAT1,FAT2,0.011,0.804,N,N
choose,ENSG00000170802,ENSG00000053254,FOXN2,FOXN3,-0.032,0.59,N,N
choose,ENSG00000091073,ENSG00000110042,DTX2,DTX4,0.31,-0.02,N,N
choose,ENSG00000105204,ENSG00000157540,DYRK1B,DYRK1A,-0.206,0.841,N,N
choose,ENSG00000060138,ENSG00000065978,YBX3,YBX1,0.101,0.129,N,N
choose,ENSG00000104177,ENSG00000099783,MYEF2,HNRNPM,-0.57,0.447,N,N
choose,ENSG00000113916,ENSG00000161940,BCL6,BCL6B,-0.215,0.629,N,N
choose,ENSG00000115317,ENSG00000169495,HTRA2,HTRA4,0.004,0.443,N,N
choose,ENSG00000116478,ENSG00000196591,HDAC1,HDAC2,0.098,-0.243,N,N
choose,ENSG00000132842,ENSG00000103723,AP3B1,AP3B2,0.157,0.289,N,N
choose,ENSG00000151718,ENSG00000113645,WWC2,WWC1,0.006,-0.505,N,N
choose,ENSG00000170464,ENSG00000148719,DNAJC18,DNAJB12,0.024,0.131,N,N
gi2,ENSG00000171552,ENSG00000105397,BCL2L1,TYK2,-2.465,0.517,N,N
choose,ENSG00000134333,ENSG00000111716,LDHA,LDHB,0.025,0.74,N,N
choose,ENSG00000185467,ENSG00000182481,KPNA7,KPNA2,-0.886,0.174,N,N
choose,ENSG00000070501,ENSG00000166169,POLB,POLL,0.001,0.09,N,N
choose,ENSG00000174606,ENSG00000013523,ANGEL2,ANGEL1,0.251,0.566,N,N
gi2,ENSG00000129673,ENSG00000198900,AANAT,TOP1,-1.761,-0.209,N,N
choose,ENSG00000163154,ENSG00000185361,TNFAIP8L2,TNFAIP8L1,-0.268,-0.222,N,N
choose,ENSG00000135723,ENSG00000134775,FHOD1,FHOD3,-0.194,0.052,N,N
choose,ENSG00000085788,ENSG00000107651,DDHD2,SEC23IP,-0.773,-0.215,N,N
choose,ENSG00000088035,ENSG00000159063,ALG6,ALG8,0.262,0.578,N,N
gi2,ENSG00000124762,ENSG00000198900,CDKN1A,TOP1,-2.147,-0.949,N,N
choose,ENSG00000078900,ENSG00000141510,TP73,TP53,0.087,0.189,N,N
choose,ENSG00000196187,ENSG00000165548,TMEM63A,TMEM63C,-0.312,0.425,N,N
choose,ENSG00000111674,ENSG00000108515,ENO2,ENO3,-0.072,0.185,N,N
choose,ENSG00000159216,ENSG00000124813,RUNX1,RUNX2,-0.223,0.156,N,N
choose,ENSG00000083750,ENSG00000155876,RRAGB,RRAGA,-1,-0.324,N,N
choose,ENSG00000138744,ENSG00000104763,NAAA,ASAH1,0.112,-0.018,N,N
choose,ENSG00000151726,ENSG00000197142,ACSL1,ACSL5,0.048,-0.121,N,N
choose,ENSG00000110931,ENSG00000004660,CAMKK2,CAMKK1,0.139,0.299,N,N
choose,ENSG00000170485,ENSG00000134852,NPAS2,CLOCK,-0.06,-0.168,N,N
choose,ENSG00000165671,ENSG00000147548,NSD1,WHSC1L1,-0.481,0.217,N,N
choose,ENSG00000185634,ENSG00000160691,SHC4,SHC1,0.123,0.103,N,N
choose,ENSG00000128564,ENSG00000187867,VGF,PALM3,-0.039,-0.295,N,N
choose,ENSG00000149541,ENSG00000109956,B3GAT3,B3GAT1,0.116,-0.269,N,N
choose,ENSG00000151718,ENSG00000047644,WWC2,WWC3,-0.14,-0.108,N,N
choose,ENSG00000006468,ENSG00000244405,ETV1,ETV5,0.11,-0.023,N,N
choose,ENSG00000133056,ENSG00000011405,PIK3C2B,PIK3C2A,-0.08,-0.106,N,N
choose,ENSG00000081026,ENSG00000187391,MAGI3,MAGI2,-0.241,-0.153,N,N
choose,ENSG00000175600,ENSG00000242110,C7orf10,AMACR,-0.097,0.238,N,N
gi1,ENSG00000080824,ENSG00000106348,HSP90AA1,IMPDH1,-0.032,-0.017,N,N
choose,ENSG00000166532,ENSG00000177181,RIMKLB,RIMKLA,0.018,0.469,N,N
choose,ENSG00000123353,ENSG00000128699,ORMDL2,ORMDL1,-0.108,-0.049,N,N
choose,ENSG00000073282,ENSG00000141510,TP63,TP53,0.213,-0.096,N,N
choose,ENSG00000197959,ENSG00000106976,DNM3,DNM1,0.112,-0.457,N,N
choose,ENSG00000135046,ENSG00000182718,ANXA1,ANXA2,0.131,0.56,N,N
choose,ENSG00000134698,ENSG00000092847,AGO4,AGO1,0.224,0.485,N,N
choose,ENSG00000135605,ENSG00000113263,TEC,ITK,0.196,-0.262,N,N
choose,ENSG00000205111,ENSG00000100490,CDKL4,CDKL1,-0.086,-0.048,N,N
choose,ENSG00000162434,ENSG00000105397,JAK1,TYK2,0.039,-0.107,N,N
gi2,ENSG00000153922,ENSG00000167900,CHD1,TK1,-1.166,0.075,N,N
choose,ENSG00000160691,ENSG00000148082,SHC1,SHC3,-0.151,-0.29,N,N
gi1,ENSG00000142208,ENSG00000105221,AKT1,AKT2,-0.987,0.861,N,N
choose,ENSG00000106635,ENSG00000110987,BCL7B,BCL7A,-0.056,0.377,N,N
choose,ENSG00000115109,ENSG00000095203,EPB41L5,EPB41L4B,-0.142,-0.389,N,N
choose,ENSG00000204138,ENSG00000112419,PHACTR4,PHACTR2,0.261,0.22,N,N
choose,ENSG00000006652,ENSG00000214706,IFRD1,IFRD2,-0.362,0.26,N,N
choose,ENSG00000005421,ENSG00000105854,PON1,PON2,-0.061,0.062,N,N
gi2,ENSG00000253729,ENSG00000071242,PRKDC,RPS6KA2,-0.594,-0.505,N,N
gi2,ENSG00000105552,ENSG00000105641,BCAT2,SLC5A5,-0.118,0.339,N,N
choose,ENSG00000125637,ENSG00000146005,PSD4,PSD2,-0.433,0.126,N,N
choose,ENSG00000203995,ENSG00000162378,ZYG11A,ZYG11B,-0.362,-0.769,N,N
gi2,ENSG00000164078,ENSG00000154229,MST1R,PRKCA,-0.162,-0.406,N,N
choose,ENSG00000116299,ENSG00000164659,KIAA1324,KIAA1324L,0.125,0.47,N,N
choose,ENSG00000111371,ENSG00000139209,SLC38A1,SLC38A4,-0.228,-0.207,N,N
choose,ENSG00000115840,ENSG00000004864,SLC25A12,SLC25A13,0.021,-0.05,N,N
gi2,ENSG00000105221,ENSG00000113161,AKT2,HMGCR,-0.681,-0.209,N,N
choose,ENSG00000137218,ENSG00000166225,FRS3,FRS2,0.019,0.302,N,N
choose,ENSG00000166165,ENSG00000104879,CKB,CKM,-0.083,0.638,N,N
choose,ENSG00000101544,ENSG00000101126,ADNP2,ADNP,0.055,-0.64,N,N
choose,ENSG00000127955,ENSG00000065135,GNAI1,GNAI3,-0.065,0.219,N,N
gi2,ENSG00000153922,ENSG00000104879,CHD1,CKM,-0.946,0.623,N,N
choose,ENSG00000121671,ENSG00000008405,CRY2,CRY1,-0.191,-0.127,N,N
choose,ENSG00000124831,ENSG00000093167,LRRFIP1,LRRFIP2,0.219,-0.585,N,N
choose,ENSG00000184838,ENSG00000205363,PRR16,C15orf59,-0.059,0.293,N,N
gi2,ENSG00000148660,ENSG00000186204,CAMK2G,CYP4F12,-0.413,-0.124,N,N
choose,ENSG00000113580,ENSG00000082175,NR3C1,PGR,0.271,-0.02,N,N
choose,ENSG00000154511,ENSG00000165716,FAM69A,FAM69B,0.279,0.024,N,N
choose,ENSG00000075303,ENSG00000013306,SLC25A40,SLC25A39,-0.174,0.449,N,N
choose,ENSG00000172660,ENSG00000089280,TAF15,FUS,-0.702,-0.292,N,N
choose,ENSG00000118260,ENSG00000123268,CREB1,ATF1,-0.591,-0.521,N,N
choose,ENSG00000171316,ENSG00000100888,CHD7,CHD8,-0.457,-0.432,N,N
gi2,ENSG00000123374,ENSG00000100122,CDK2,CRYBB1,-1.224,0.147,N,N
choose,ENSG00000162613,ENSG00000088247,FUBP1,KHSRP,-1.002,-1.427,N,N
choose,ENSG00000075711,ENSG00000082458,DLG1,DLG3,0.515,0.012,N,N
gi2,ENSG00000100823,ENSG00000139618,APEX1,BRCA2,-1.063,-0.479,N,N
