gene1,gene2,type,CC_sum,MF_sum,BP_sum
MCAM,BCAM,Others,9,5,7
MCOLN2,MCOLN1,Others,15,5,6
MDGA2,MDGA1,Others,10,1,4
ME3,ME1,Others,5,16,15
MEF2C,MEF2A,Others,14,31,45
MEGF11,MEGF10,Others,2,5,10
METAP1D,METAP1,Others,3,5,7
METRNL,METRN,Others,3,3,4
METTL7B,METTL7A,Others,3,3,1
MFGE8,EDIL3,Others,10,4,2
MFSD2B,MFSD2A,Others,7,9,12
MGAT4B,MGAT4A,Others,10,3,6
MICB,MICA,Others,9,4,20
MID2,MID1,Others,6,12,14
MIER3,MIER1,Others,9,9,6
MMEL1,MME,Others,19,15,23
MOGAT2,MOGAT1,Others,5,5,8
MPP4,MPP3,Others,4,2,2
MPPED2,MPPED1,Others,1,2,1
MSI2,MSI1,Others,6,6,1
MST1R,MET,Others,11,10,42
MSTN,GDF11,Others,6,7,14
MTHFD1L,MTHFD1,Others,11,9,12
MTMR8,MTMR7,Others,10,5,7
MTNR1B,MTNR1A,Others,7,7,12
MTRF1L,MTRF1,Others,4,0,4
MX2,MX1,Others,30,8,30
MXI1,MXD3,Others,7,10,3
MYL6B,MYL3,Others,10,5,8
MYO1B,MYO1A,Others,26,11,9
MYO1F,MYO1E,Others,15,14,7
MYO1G,MYO1D,Others,15,7,5
MYO1H,MYO1C,Others,24,9,13
MYO7B,MYO7A,Others,16,12,16
MYO9B,MYO9A,Others,9,12,10
MYOF,DYSF,Others,18,9,18
MYZAP,GCOM1,Others,2,1,1
NAAA,ASAH1,Others,12,11,14
NAALAD2,FOLH1,Others,7,6,4
NAT2,NAT1,Others,2,5,2
NAV3,NAV2,Others,2,3,6
NBPF3,NBPF15,Others,0,0,0
NCOA2,NCOA1,Others,14,19,11
NCOA3,NCOA1,Others,19,21,14
NCOA3,NCOA2,Others,17,18,11
NDUFA4L2,NDUFA4,Others,6,5,1
NEDD4L,NEDD4,Others,18,21,65
NEDD9,BCAR1,Others,14,4,25
NEDD9,CASS4,Others,11,3,14
NEK7,NEK6,Others,9,11,16
NELL2,NELL1,Others,5,6,6
NEO1,DCC,Others,7,4,10
NFATC3,NFATC1,Others,16,18,20
NFATC3,NFATC2,Others,18,19,22
NFATC4,NFATC3,Others,13,17,14
NFE2L2,NFE2,Others,13,23,30
NFE2L2,NFE2L1,Others,13,16,27
NFIB,NFIA,Others,10,14,7
NFIX,NFIA,Others,7,12,6
NFIX,NFIB,Others,7,14,9
NHLH2,NHLH1,Others,3,13,7
NINL,NIN,Others,18,2,11
NIPAL1,NIPA2,Others,2,0,2
NIPSNAP3B,NIPSNAP3A,Others,3,1,0
NIT2,NIT1,Others,7,2,7
NLRP7,NLRP2,Others,6,5,9
NMI,IFI35,Others,14,4,13
NOL4L,NOL4,Others,2,2,0
NPBWR2,NPBWR1,Others,8,10,7
NPR2,NPR1,Others,7,19,20
NPTX2,NPTX1,Others,6,2,7
NR1H3,NR1H2,Others,12,19,44
NR3C1,AR,Others,20,40,44
NR5A2,NR5A1,Others,11,22,25
NRBP2,NRBP1,Others,6,2,8
NTN3,NTN1,Others,5,4,9
NTNG2,NTNG1,Others,10,6,11
NTRK2,NTRK1,Others,18,23,43
NXNL2,NXNL1,Others,0,1,1
NXPH2,NXPH1,Others,0,3,0
OBP2B,OBP2A,Others,4,0,2
OCM2,OCM,Others,4,3,0
OGDHL,OGDH,Others,8,6,7
ORMDL2,ORMDL1,Others,5,2,10
OSBP2,OSBP,Others,21,13,3
OSBPL11,OSBPL10,Others,9,10,3
OSBPL8,OSBPL5,Others,12,16,7
OSGIN2,OSGIN1,Others,2,5,6
OTUB2,OTUB1,Others,6,14,17
OTUD6B,OTUD6A,Others,1,5,14
OTUD7B,OTUD7A,Others,8,9,20
OXCT2,OXCT1,Others,7,5,5
OXT,AVP,Others,8,11,16
P2RX4,P2RX1,Others,16,13,27
P2RX4,P2RX2,Others,16,13,25
P2RY1,OXGR1,Others,7,4,7
P2RY4,P2RY2,Others,4,4,7
P4HA2,P4HA1,Others,12,5,2
PAIP2B,PAIP2,Others,4,6,4
PANX3,PANX1,Others,7,6,7
PARVB,PARVA,Others,13,6,17
PAX7,PAX3,Others,4,12,11
PBX4,PBX1,Others,8,11,15
PCBP3,PCBP2,Others,17,9,11
PCED1B,PCED1A,Others,0,2,0
PCGF3,PCGF1,Others,8,4,8
PCK2,PCK1,Others,10,15,28
PCSK4,FURIN,Others,18,15,31
PCYOX1L,PCYOX1,Others,6,4,4
PCYT1B,PCYT1A,Others,7,8,6
PDCL3,PDCL2,Others,5,3,10
PDE1B,PDE1A,Others,4,9,8
PDE4B,PDE4A,Others,12,12,7
PDE6H,PDE6G,Others,4,4,9
PDE7B,PDE7A,Others,2,6,7
PDHA2,PDHA1,Others,12,6,6
PDHB,BCKDHB,Others,12,6,8
PDLIM5,LDB3,Others,12,8,6
PEAR1,MEGF10,Others,3,5,10
PER2,PER1,Others,10,10,13
PEX11B,PEX11A,Others,13,5,12
PF4V1,PF4,Others,7,9,30
PFKFB3,PFKFB2,Others,6,8,5
PFKFB4,PFKFB3,Others,5,6,4
PGLYRP4,PGLYRP3,Others,3,7,9
PGM2L1,PGM2,Others,6,4,9
PGR,NR3C1,Others,14,27,22
PHACTR4,PHACTR2,Others,2,3,4
PHC3,PHC1,Others,14,6,5
PHC3,PHC2,Others,14,7,3
PHF19,MTF2,Others,11,10,7
PHF19,PHF1,Others,12,13,10
PHKA2,PHKA1,Others,4,3,7
PHKG2,PHKG1,Others,4,4,5
PHOX2B,PHOX2A,Others,5,13,15
PHYHIPL,PHYHIP,Others,4,2,1
PIAS2,PIAS1,Others,7,15,11
PIAS3,PIAS1,Others,3,15,12
PIK3C2B,PIK3C2A,Others,24,15,23
PIK3CD,PIK3CB,Others,16,12,82
PILRB,PILRA,Others,3,4,4
PKM,PKLR,Others,17,9,9
PKNOX2,PKNOX1,Others,3,10,4
PKP3,PKP1,Others,23,9,17
PKP4,CTNND2,Others,25,5,14
PLA2G2E,PLA2G2A,Others,7,14,26
PLA2G7,PAFAH2,Others,4,8,10
PLBD2,PLBD1,Others,5,3,6
PLCB3,PLCB1,Others,8,16,16
PLCG2,PLCG1,Others,13,11,30
PLEKHB2,PLEKHB1,Others,3,3,2
PLEKHG4B,ARHGEF40,Others,2,1,0
PLOD2,PLOD1,Others,6,6,9
PLOD3,PLOD1,Others,9,12,8
PLPP5,PLPP4,Others,3,9,6
PLPPR5,PLPPR1,Others,3,5,6
PLS3,LCP1,Others,23,5,13
PLS3,PLS1,Others,9,3,5
PMEPA1,LDLRAD4,Others,11,6,17
PMS1,MLH3,Others,5,7,2
PNPLA7,PNPLA6,Others,6,3,1
POLL,POLB,Others,10,12,17
PON2,PON1,Others,10,9,12
PPFIA3,PPFIA1,Others,10,2,10
PPP1R12B,PPP1R12A,Others,19,12,12
PPP1R14C,PPP1R14B,Others,0,2,1
PPP2CB,PPP2CA,Others,7,7,14
PPP2R2C,PPP2R2B,Others,4,4,2
PPP3CC,PPP3CA,Others,17,15,22
PPP3R2,PPP3R1,Others,3,5,5
PREX2,PREX1,Others,6,7,9
PRICKLE2,PRICKLE1,Others,5,1,8
PRICKLE3,PRICKLE2,Others,1,1,1
PRKAA2,PRKAA1,Others,15,10,27
PRKAR2B,PRKAR2A,Others,21,13,19
PRKCH,PRKCE,Others,12,11,25
PRKCZ,PRKCI,Others,17,13,26
PRMT8,PRMT1,Others,8,32,21
PROKR2,PROKR1,Others,5,3,5
PROS1,GAS6,Others,17,12,56
PRRX2,PRRX1,Others,6,11,3
PRSS41,PRSS21,Others,7,4,2
PRTFDC1,HPRT1,Others,4,10,15
PRTN3,ELANE,Others,24,17,31
PSD4,PSD2,Others,3,0,0
PSKH2,PSKH1,Others,2,2,0
PSMA8,PSMA7,Others,18,4,52
PSMB7,PSMB10,Others,19,4,54
PSMB8,PSMB5,Others,17,5,56
PTBP3,PTBP1,Others,6,7,18
PTH2R,PTH1R,Others,7,12,11
PTK2B,PTK2,Others,23,21,91
PTPN2,PTPN1,Others,13,18,28
PTPN21,PTPN14,Others,6,7,7
PTPN6,PTPN11,Others,17,24,47
PTPRE,PTPRA,Others,7,6,4
PWWP2B,PWWP2A,Others,2,4,0
PZP,A2M,Others,10,15,6
R3HDML,PI15,Others,3,0,1
RAB27B,RAB27A,Others,23,8,23
RAB2B,RAB2A,Others,10,5,3
RAB31,RAB22A,Others,15,10,13
RAB33B,RAB33A,Others,8,3,8
RAB37,RAB26,Others,11,4,6
RAB39B,RAB39A,Others,10,3,3
RABGAP1L,RABGAP1,Others,7,8,6
RAF1,ARAF,Others,15,8,24
RASA3,RASA2,Others,3,1,4
RASD2,RASD1,Others,0,2,2
RASGEF1B,RASGEF1A,Others,1,2,3
RASGRF2,RASGRF1,Others,4,2,9
RASL10B,RASL10A,Others,0,1,1
RASSF4,RASSF2,Others,10,3,11
RASSF5,RASSF1,Others,5,3,5
RBFOX2,RBFOX1,Others,12,9,9
RBM3,CIRBP,Others,8,7,8
RCAN3,RCAN2,Others,5,6,3
RCOR3,RCOR2,Others,6,4,6
RDH12,RDH11,Others,3,7,10
REEP6,REEP5,Others,5,3,2
REG1B,REG1A,Others,4,7,8
RELA,REL,Others,17,41,72
RELB,REL,Others,14,12,22
RFNG,LFNG,Others,1,6,3
RGS19,RGS17,Others,4,4,3
RGS7,RGS6,Others,5,6,6
RHBDL3,RHBDL1,Others,2,3,1
RHD,RHCE,Others,2,2,2
RHEBL1,RHEB,Others,8,13,9
RLN2,RLN1,Others,1,1,5
RMND5B,RMND5A,Others,11,4,2
RNASE3,RNASE2,Others,8,5,19
RNF113B,RNF113A,Others,5,2,6
RNF175,RNF121,Others,4,3,4
RNF40,RNF20,Others,12,13,15
RNFT2,RNFT1,Others,2,4,3
ROPN1B,ROPN1,Others,8,4,4
ROR2,ROR1,Others,8,11,19
RPEL1,RPE,Others,5,9,10
RPL26L1,RPL26,Others,12,9,17
RPL39L,RPL39,Others,8,3,11
RPS6KA5,RPS6KA4,Others,12,12,39
RRAS,KRAS,Others,10,14,17
RTP2,RTP1,Others,4,5,8
RUNDC3B,RUNDC3A,Others,2,2,2
RUNX2,RUNX1,Others,11,15,39
S100Z,S100A1,Others,8,13,5
SALL3,SALL1,Others,7,6,18
SAMD9L,SAMD9,Others,5,2,1
SATB2,SATB1,Others,9,14,8
SCAMP5,SCAMP4,Others,9,3,6
SCD5,SCD,Others,11,11,10
SCGB1C2,SCGB1C1,Others,0,1,0
SCGB2A2,SCGB2A1,Others,5,3,4
SCIN,GSN,Others,25,12,42
SCRIB,LRRC1,Others,17,2,20
SDCBP2,SDCBP,Others,27,14,18
SDF2L1,SDF2,Others,5,4,3
SDK2,SDK1,Others,4,1,8
SDSL,SDS,Others,4,8,9
SEC14L5,SEC14L1,Others,5,3,2
SEL1L2,SEL1L,Others,7,3,8
SEMA3F,SEMA3C,Others,5,5,15
SEMA5B,SEMA5A,Others,4,4,15
SEMG2,SEMG1,Others,10,5,16
SERP2,SERP1,Others,5,2,7
SESN3,SESN1,Others,12,7,16
SETSIP,SET,Others,18,9,8
SFRP5,SFRP1,Others,10,9,76
SFT2D2,SFT2D1,Others,1,3,1
SFTPA2,SFTPA1,Others,14,3,5
SGMS2,SGMS1,Others,18,13,11
SGPP2,SGPP1,Others,7,5,8
SGSM2,SGSM1,Others,4,6,6
SH3GL2,SH3GL1,Others,9,5,10
SH3GLB2,SH3GLB1,Others,8,7,14
SHC3,SHC1,Others,7,14,33
SHC4,SHC1,Others,5,13,29
SHOX2,SHOX,Others,6,12,7
SI,MGAM,Others,8,7,4
SIAH2,SIAH1,Others,8,14,25
SIDT2,SIDT1,Others,7,5,3
SIGLEC11,SIGLEC10,Others,3,7,3
SIRT5,SIRT4,Others,11,14,16
SIX6,SIX3,Others,6,12,11
SLC10A4,SLC10A2,Others,3,5,3
SLC12A3,SLC12A2,Others,24,14,26
SLC13A5,SLC13A3,Others,10,19,10
SLC16A7,SLC16A1,Others,19,10,10
SLC16A8,SLC16A3,Others,15,4,7
SLC1A5,SLC1A4,Others,14,17,16
SLC22A12,SLC22A11,Others,10,7,7
SLC22A2,SLC22A1,Others,10,25,35
SLC22A5,SLC22A4,Others,10,17,16
SLC23A2,SLC23A1,Others,11,10,11
SLC24A4,SLC24A3,Others,9,6,15
SLC25A22,SLC25A18,Others,3,8,11
SLC25A40,SLC25A39,Others,0,0,0
SLC25A52,SLC25A51,Others,2,2,2
SLC25A6,SLC25A4,Others,11,3,7
SLC27A3,SLC27A2,Others,20,19,15
SLC27A4,SLC27A1,Others,12,15,48
SLC27A6,SLC27A2,Others,16,17,15
SLC28A2,SLC28A1,Others,9,20,23
SLC2A7,SLC2A5,Others,7,5,8
SLC37A2,SLC37A1,Others,8,4,10
SLC38A4,SLC38A1,Others,6,8,6
SLC38A5,SLC38A4,Others,4,13,14
SLC38A8,SLC38A7,Others,0,12,2
SLC3A2,SLC3A1,Others,14,13,12
SLC43A2,SLC43A1,Others,3,9,9
SLC45A4,SLC45A1,Others,2,2,1
SLC4A7,SLC4A10,Others,9,6,11
SLC52A2,SLC52A1,Others,7,7,6
SLC5A8,SLC5A12,Others,6,7,7
SLC6A17,SLC6A15,Others,4,4,9
SLC6A19,SLC6A18,Others,7,4,4
SLC6A3,SLC6A2,Others,20,12,13
SLC6A6,SLC6A11,Others,11,8,13
SLC6A6,SLC6A13,Others,11,9,16
SLC7A2,SLC7A1,Others,13,17,16
SLC7A7,SLC7A6,Others,6,6,11
SLC9A4,SLC9A2,Others,4,4,8
SLC9B2,SLC9B1,Others,4,5,3
SLFN12L,SLFN12,Others,0,1,0
SMAD3,SMAD2,Others,28,51,72
SMOC2,SMOC1,Others,6,7,15
SMOX,PAOX,Others,7,7,9
SMYD2,SMYD1,Others,4,7,8
SNAP25,SNAP23,Others,30,9,19
SNCB,SNCA,Others,28,30,65
SNTB1,SNTA1,Others,13,6,7
SNX3,SNX12,Others,15,8,22
SNX6,SNX32,Others,6,5,8
SORCS3,SORCS1,Others,5,2,1
SOX2,SOX1,Others,9,14,33
SOX21,SOX14,Others,4,8,8
SOX6,SOX5,Others,7,11,18
SP4,SP2,Others,5,14,5
SP9,SP8,Others,2,8,2
SPAG11B,SPAG11A,Others,0,1,3
SPAM1,HYAL1,Others,11,4,30
SPOCK3,SPOCK1,Others,1,5,5
SPRR1B,SPRR1A,Others,7,4,8
SPRR2B,SPRR2A,Others,5,1,2
SPRY2,SPRY1,Others,12,5,24
SRGAP1,ARHGAP4,Others,5,3,6
SRGAP2C,SRGAP2B,Others,2,2,6
SRI,GCA,Others,17,11,17
SRPK3,SRPK2,Others,12,9,17
SRSF6,SRSF5,Others,8,10,24
SRSF9,SRSF1,Others,13,11,20
SSTR4,SSTR1,Others,7,9,10
ST6GALNAC6,ST6GALNAC5,Others,2,4,8
ST7L,ST7,Others,0,0,0
ST8SIA4,ST8SIA2,Others,2,6,19
STAG3,STAG2,Others,22,3,5
STAMBPL1,STAMBP,Others,14,9,10
STAT4,STAT3,Others,14,23,68
STAT5B,STAT5A,Others,8,12,33
STEAP1B,STEAP1,Others,7,3,0
STEAP3,STEAP2,Others,12,5,10
STK4,STK3,Others,13,20,27
STOML3,STOM,Others,19,5,3
STRN4,STRN,Others,5,17,3
STX3,STX1B,Others,24,6,18
STXBP3,STXBP1,Others,19,10,20
STXBP5L,STXBP5,Others,7,7,5
SULF1,GNS,Others,14,11,17
SULF2,SULF1,Others,14,12,21
SUV39H2,SUV39H1,Others,10,14,12
SYNGAP1,DAB2IP,Others,6,21,54
SYNGR3,SYNGR1,Others,6,2,2
SYP,SYNPR,Others,4,6,1
SYPL2,SYP,Others,4,5,2
SYT4,SYT11,Others,10,13,17
SYTL3,SYTL1,Others,7,4,3
TAB3,TAB2,Others,8,4,29
TACR3,TACR1,Others,13,6,13
TAF15,FUS,Others,9,13,13
TAOK2,TAOK1,Others,11,10,35
TAOK3,TAOK1,Others,6,10,31
TAS2R40,TAS2R39,Others,6,4,6
TAX1BP1,CALCOCO1,Others,5,12,6
TBC1D2B,TBC1D2,Others,6,6,5
TBC1D9,TBC1D8B,Others,1,4,6
TBK1,IKBKE,Others,14,13,28
TBX10,TBX1,Others,3,10,11
TBX3,TBX2,Others,4,17,34
TBX5,TBX4,Others,8,15,30
TBXAS1,CYP3A5,Others,4,15,14
TCAF2,TCAF1,Others,5,7,12
TCF15,SCX,Others,4,11,6
TCF21,MSC,Others,5,14,7
TCF7,LEF1,Others,13,25,38
TCTN3,TCTN1,Others,4,1,8
TEC,ITK,Others,6,8,26
TENM4,TENM1,Others,4,8,10
TES,LMCD1,Others,9,6,4
TF,LTF,Others,44,11,48
TFAP2C,TFAP2A,Others,13,24,34
TFCP2L1,TFCP2,Others,9,14,6
TGFB2,TGFB1,Others,18,28,182
TGFB3,TGFB1,Others,18,27,145
TGFB3,TGFB2,Others,12,25,89
TGIF2LY,TGIF2LX,Others,2,9,2
THRB,THRA,Others,8,22,20
TJAP1,BEGAIN,Others,3,2,2
TLE2,TLE1,Others,15,11,15
TLR5,TLR2,Others,13,15,44
TLR6,TLR1,Others,12,16,33
TM2D3,TM2D2,Others,1,1,1
TMBIM1,FAIM2,Others,9,3,6
TMC8,TMC7,Others,6,5,5
TMEM120B,TMEM120A,Others,5,4,6
TMEM184B,TMEM184A,Others,3,2,2
TMEM59L,TMEM59,Others,9,1,5
TMEM63C,TMEM63A,Others,10,6,2
TMEM74B,TMEM74,Others,0,1,1
TMEM86B,TMEM86A,Others,3,10,2
TMPRSS6,PRSS21,Others,9,4,9
TMUB2,TMUB1,Others,0,2,3
TNFAIP3,OTUD7B,Others,10,19,41
TNFRSF10B,TNFRSF10A,Others,12,6,26
TNRC6B,TNRC6A,Others,12,4,21
TOR3A,TOR1B,Others,11,7,4
TOX4,TOX3,Others,7,8,5
TP63,TP53,Others,27,49,99
TP73,TP53,Others,29,55,103
TP73,TP63,Others,14,24,28
TPD52L1,TPD52,Others,7,6,10
TPH2,PAH,Others,3,3,4
TPTE2,TPTE,Others,9,4,16
TRABD2B,TRABD2A,Others,10,11,8
TRIM3,TRIM2,Others,2,6,5
TRIM9,TRIM67,Others,2,4,1
TRIP10,FNBP1,Others,7,4,3
TRPC5,TRPC4,Others,13,10,12
TRPM3,TRPM1,Others,4,5,10
TRPM7,TRPM6,Others,5,4,8
TRPV6,TRPV5,Others,8,9,12
TSHZ3,TSHZ1,Others,7,8,3
TSPAN11,CD151,Others,8,3,9
TSPAN31,TSPAN13,Others,4,1,1
TSPAN5,TSPAN17,Others,5,3,9
TSPAN7,TSPAN6,Others,3,2,3
TSPAN9,CD82,Others,7,2,1
TSPYL6,TSPYL1,Others,6,6,1
TSSK2,TSSK1B,Others,5,9,6
TUBG2,TUBG1,Others,22,7,15
TXLNB,TXLNA,Others,4,2,1
TXLNG,TXLNA,Others,4,3,3
TYK2,JAK3,Others,7,8,30
TYW1B,TYW1,Others,0,1,2
UACA,RAI14,Others,8,3,3
UBE2G2,UBE2G1,Others,8,9,16
UBE3C,UBE3B,Others,0,4,5
UCHL3,UCHL1,Others,11,15,11
UGT3A2,UGT3A1,Others,3,5,1
UHRF1BP1L,UHRF1BP1,Others,2,7,0
UHRF2,UHRF1,Others,10,14,19
UNC13B,UNC13A,Others,18,6,22
UNC13C,UNC13B,Others,18,6,20
UNC5B,UNC5A,Others,1,3,8
UPP2,UPP1,Others,4,5,7
UQCRHL,UQCRH,Others,5,1,6
USF2,USF1,Others,11,27,16
USP19,USP11,Others,8,8,10
USP4,USP11,Others,12,8,9
USP9Y,USP9X,Others,9,9,20
UTY,KDM6A,Others,7,7,6
VASH2,VASH1,Others,7,9,18
VAV3,VAV1,Others,4,8,27
VEGFC,VEGFA,Others,11,27,103
VGF,PALM3,Others,6,3,11
VIL1,AVIL,Others,15,15,33
VPS13C,VPS13A,Others,13,1,11
WASF3,WASF2,Others,12,8,13
WASHC2C,WASHC2A,Others,9,11,6
WDFY4,WDFY3,Others,12,2,1
WDR5B,WDR5,Others,11,5,11
WFIKKN2,WFIKKN1,Others,1,11,4
WNT10B,WNT10A,Others,4,7,23
WNT2B,WNT2,Others,10,9,28
WNT3A,WNT3,Others,21,12,45
WNT5B,WNT5A,Others,22,11,72
WNT7B,WNT7A,Others,17,11,49
WNT8B,WNT8A,Others,4,6,16
WNT9B,WNT9A,Others,4,7,14
WWC2,WWC1,Others,7,6,13
WWC3,WWC2,Others,2,4,6
WWP1,ITCH,Others,13,14,31
WWP2,WWP1,Others,9,10,29
XCL2,XCL1,Others,4,9,51
XIAP,BIRC3,Others,14,13,40
XPNPEP2,XPNPEP1,Others,7,5,2
YY2,YY1,Others,9,19,13
ZAP70,SYK,Others,15,23,50
ZBTB3,ZBTB18,Others,7,10,4
ZBTB8B,ZBTB46,Others,4,5,2
ZC3H12B,ZC3H12A,Others,11,12,41
ZC3H12C,ZC3H12B,Others,5,6,3
ZCCHC13,CNBP,Others,2,10,6
ZCCHC18,ZCCHC12,Others,2,1,0
ZDHHC2,ZDHHC15,Others,9,9,17
ZFAND6,ZFAND5,Others,3,5,6
ZFHX4,ZFHX3,Others,11,12,9
ZFP69B,ZFP69,Others,2,7,5
ZFYVE9,ZFYVE16,Others,11,6,10
ZMYM4,ZMYM2,Others,2,4,4
ZNF260,ZNF146,Others,6,9,3
ZNF280B,ZNF280A,Others,0,5,2
ZNF292,RLF,Others,2,5,2
ZNF346,ZMAT4,Others,3,7,0
ZNF384,ZNF362,Others,1,5,2
ZNF385D,ZNF385B,Others,3,2,1
ZNF426,ZNF266,Others,1,7,3
ZNF521,ZNF423,Others,4,8,7
ZNF630,ZNF300,Others,6,7,3
ZNF687,ZNF532,Others,2,1,0
ZNF703,ZNF503,Others,6,4,13
ZNF81,ZNF175,Others,5,9,4
ZRANB3,SMARCAD1,Others,7,10,17
