gene1,gene2,type,similarity.BMA,similarity.rcmax
ZDHHC7,ZDHHC3,Others,0.689,0.698
ZNF302,ZNF181,Others,0.694,0.75
ZNF324B,ZNF324,Others,0.586,0.75
ZNF562,ZNF561,Others,0.674,0.745
ZNF587B,ZNF552,Others,0.57,0.64
ZNF773,ZNF419,Others,0.75,0.75
AGPAT4,AGPAT3,Others,0.602,0.714
AMMECR1L,AMMECR1,Others,0.357,0.75
ANXA2,ANXA1,Others,0.616,0.624
AP1G2,AP1G1,Others,0.592,0.708
AP3B2,AP3B1,Others,0.407,0.667
ATG4B,ATG4A,Others,0.586,0.75
BCAT2,BCAT1,Others,0.651,0.681
CERS3,CERS2,Others,0.694,0.705
CERS6,CERS5,Others,0.694,0.75
CNOT6L,CNOT6,Others,0.718,0.75
DENND5B,DENND5A,Others,0.531,0.75
DENND6B,DENND6A,Others,0.65,0.75
DGKH,DGKD,Others,0.647,0.706
DNASE1L2,DNASE1,Others,0.636,0.677
DYRK1B,DYRK1A,Others,0.63,0.724
FAM168B,FAM168A,Others,0,0
FAR2,FAR1,Others,0.679,0.75
FBXL20,FBXL2,Others,0.564,0.7
FBXO32,FBXO25,Others,0.3,0.5
FSCN2,FSCN1,Others,0.462,0.703
GALNT13,GALNT1,Others,0.661,0.708
GATA3,GATA2,Others,0.636,0.674
GPD1L,GPD1,Others,0.492,0.656
GPSM2,GPSM1,Others,0.488,0.587
HEY2,HEY1,Others,0.715,0.737
HOXB7,HOXA7,Others,0.675,0.717
HS6ST3,HS6ST1,Others,0.412,0.75
IDI2,IDI1,Others,0.696,0.74
JAG2,JAG1,Others,0.548,0.647
KIF13B,KIF13A,Others,0.6,0.626
KLF7,KLF6,Others,0.636,0.661
KLHL3,KLHL2,Others,0.541,0.625
LANCL2,LANCL1,Others,0.512,0.536
LRIG3,LRIG2,Others,0.714,0.75
LRRN3,LRRN1,Others,0.6,0.75
MAN2A2,MAN2A1,Others,0.635,0.75
MPP7,MPP3,Others,0.172,0.75
MSX2,MSX1,Others,0.648,0.666
NECAP2,NECAP1,Others,0.51,0.75
NSG2,NSG1,Others,0.635,0.714
NT5M,NT5C,Others,0.514,0.651
PDE8B,PDE8A,Others,0.613,0.679
PHIP,BRWD3,Others,0.606,0.75
PHYKPL,ETNPPL,Others,0.454,0.461
PRKCQ,PRKCD,Others,0.621,0.673
PTGS2,PTGS1,Others,0.618,0.633
PTPN4,PTPN3,Others,0.64,0.678
RALYL,RALY,Others,0.635,0.667
RBM38,RBM24,Others,0.519,0.639
RFX3,RFX2,Others,0.709,0.75
RHOBTB2,RHOBTB1,Others,0.75,0.75
RIMKLB,RIMKLA,Others,0.705,0.75
RIT2,RIT1,Others,0.662,0.748
RNF144B,RNF144A,Others,0.661,0.663
SFMBT2,SFMBT1,Others,0.649,0.649
SH3BGRL2,SH3BGRL,Others,0.25,0.25
SIPA1L2,SIPA1L1,Others,0.654,0.75
SLC18A2,SLC18A1,Others,0.638,0.75
SLC25A13,SLC25A12,Others,0.735,0.737
SLC25A30,SLC25A14,Others,0.609,0.654
SLC35D2,SLC35D1,Others,0.637,0.688
STXBP2,STXBP1,Others,0.667,0.682
TBC1D8B,TBC1D8,Others,0.557,0.559
TBX18,TBX15,Others,0.636,0.75
TNFAIP8L2,TNFAIP8L1,Others,0.642,0.646
TSPAN9,TSPAN4,Others,0.544,0.551
TTC21B,TTC21A,Others,0.596,0.661
TUSC3,MAGT1,Others,0.698,0.729
WIPI2,WIPI1,Others,0.684,0.717
YBX3,YBX1,Others,0.601,0.661
ZNF396,ZNF24,Others,0.572,0.583
ZYG11B,ZYG11A,Others,0.333,0.75
ABCB7,ABCB6,Others,0.522,0.579
ABCF3,ABCF1,Others,0.446,0.688
ABHD12B,ABHD12,Others,0.619,0.75
ACSF3,ACSF2,Others,0.609,0.652
ACTR1B,ACTG1,Others,0.476,0.582
ADAM17,ADAM10,Others,0.643,0.657
ADAMTSL3,ADAMTSL1,Others,0.583,0.625
AGAP3,AGAP1,Others,0.312,0.417
AGAP9,AGAP1,Others,0.375,0.75
AGFG2,AGFG1,Others,0.266,0.277
AHRR,AHR,Others,0.643,0.75
AK8,AK2,Others,0.558,0.594
AKT2,AKT1,Others,0.658,0.73
ANKRD12,ANKRD11,Others,0.375,0.75
ANXA7,ANXA11,Others,0.614,0.632
APC2,APC,Others,0.631,0.691
APPL2,APPL1,Others,0.686,0.718
ARHGEF12,ARHGEF11,Others,0.697,0.699
ASAH2B,ASAH2,Others,0.494,0.75
ASIC3,ASIC1,Others,0.64,0.696
ASXL3,ASXL1,Others,0.632,0.717
ATAD3B,ATAD3A,Others,0.511,0.518
ATG2B,ATG2A,Others,0.662,0.675
ATP7B,ATP7A,Others,0.676,0.68
ATXN2L,ATXN2,Others,0.669,0.714
AXIN2,AXIN1,Others,0.627,0.652
B3GALT6,B3GALNT2,Others,0.499,0.533
BACH2,BACH1,Others,0.636,0.677
BANF2,BANF1,Others,0.462,0.75
BAZ2B,BAZ2A,Others,0.281,0.375
BCR,ABR,Others,0.639,0.732
BET1L,BET1,Others,0.616,0.644
BRD9,BRD7,Others,0.604,0.663
BRMS1L,BRMS1,Others,0.541,0.75
BTG4,BTG3,Others,0.563,0.571
BTN3A3,BTN3A1,Others,0.663,0.664
CAMTA2,CAMTA1,Others,0.57,0.572
CAPRIN2,CAPRIN1,Others,0.487,0.542
CASKIN2,CASKIN1,Others,0.393,0.438
CBX5,CBX3,Others,0.644,0.649
CC2D1B,CC2D1A,Others,0.589,0.679
CCDC85C,CCDC85A,Others,0.35,0.5
CCNG2,CCNG1,Others,0.679,0.75
CDC14B,CDC14A,Others,0.707,0.709
CDC37L1,CDC37,Others,0.635,0.69
CDK5,CDK3,Others,0.582,0.667
CDK5R2,CDK5R1,Others,0.385,0.75
CDK8,CDK19,Others,0.54,0.708
CHKB,CHKA,Others,0.709,0.75
CHMP2B,CHMP2A,Others,0.689,0.694
CISD2,CISD1,Others,0.528,0.6
CLPTM1L,CLPTM1,Others,0.694,0.75
CLSTN3,CLSTN1,Others,0.645,0.75
CNGB3,CNGB1,Others,0.532,0.75
CNKSR2,CNKSR1,Others,0.56,0.591
COQ8B,COQ8A,Others,0.67,0.71
CORO1C,CORO1B,Others,0.585,0.605
COX4I2,COX4I1,Others,0.49,0.625
COX6B2,COX6B1,Others,0.4,0.438
CPEB4,CPEB2,Others,0.709,0.714
CPNE2,CPNE1,Others,0.41,0.75
CPS1,CAD,Others,0.511,0.537
CPSF7,CPSF6,Others,0.662,0.673
CREG2,CREG1,Others,0.275,0.75
CSNK1G2,CSNK1G1,Others,0.679,0.75
CTBP2,CTBP1,Others,0.628,0.68
CTCFL,CTCF,Others,0.646,0.659
CTDSP2,CTDSP1,Others,0.666,0.718
CUL9,CUL7,Others,0.66,0.75
CYB5B,CYB5A,Others,0.672,0.681
CYB5R3,CYB5R1,Others,0.54,0.615
CYTH2,CYTH1,Others,0.69,0.691
CYTH3,CYTH2,Others,0.634,0.654
DAB2,DAB1,Others,0.468,0.67
DACH2,DACH1,Others,0.565,0.75
DCUN1D2,DCUN1D1,Others,0.679,0.75
DCUN1D5,DCUN1D4,Others,0.722,0.75
DDX47,DDX28,Others,0.548,0.578
DGUOK,DCK,Others,0.593,0.6
DISP2,DISP1,Others,0.1,0.125
DMRTB1,DMRTA2,Others,0.682,0.688
DNMT3B,DNMT3A,Others,0.675,0.717
DPF2,DPF1,Others,0.61,0.719
DUOXA2,DUOXA1,Others,0.49,0.75
E2F8,E2F7,Others,0.71,0.713
EFTUD2,EEF2,Others,0.596,0.597
EHBP1L1,EHBP1,Others,0.484,0.5
EHD4,EHD1,Others,0.678,0.716
EHMT2,EHMT1,Others,0.661,0.694
EN2,EN1,Others,0.702,0.717
ENO2,ENO1,Others,0.614,0.75
EPN2,EPN1,Others,0.675,0.723
EPS15L1,EPS15,Others,0.628,0.75
ESPNL,ESPN,Others,0.567,0.625
ETV7,ETV6,Others,0.671,0.699
EVX2,EVX1,Others,0.654,0.667
EXOSC6,EXOSC4,Others,0.649,0.719
FAM135B,FAM135A,Others,0.75,0.75
FAM151B,FAM151A,Others,0.125,0.25
FAT4,FAT1,Others,0.488,0.75
FGF2,FGF1,Others,0.695,0.711
FITM2,FITM1,Others,0.591,0.679
FMN2,FMN1,Others,0.333,0.688
FOXK2,FOXK1,Others,0.661,0.678
FOXN4,FOXN1,Others,0.584,0.623
FRMD6,FRMD1,Others,0.577,0.59
FSTL3,FST,Others,0.675,0.686
FUT11,FUT10,Others,0.368,0.583
FXR2,FXR1,Others,0.71,0.734
GABARAPL2,GABARAP,Others,0.692,0.694
GANC,GANAB,Others,0.39,0.688
GAS2L2,GAS2L1,Others,0.715,0.716
GDF10,BMP3,Others,0.657,0.7
GDF9,BMP15,Others,0.654,0.69
GGA2,GGA1,Others,0.638,0.7
GGA3,GGA1,Others,0.639,0.643
GIGYF2,GIGYF1,Others,0.484,0.602
GLCCI1,FAM117B,Others,0,0
GMPPB,GMPPA,Others,0.4,0.5
GNAS,GNAL,Others,0.587,0.649
GNG5,GNG10,Others,0.646,0.716
GNL3L,GNL3,Others,0.629,0.636
GOT2,GOT1,Others,0.622,0.623
GPT2,GPT,Others,0.432,0.5
GRK6,GRK4,Others,0.427,0.609
GRPEL2,GRPEL1,Others,0.65,0.75
GTF2H2C,GTF2H2,Others,0.534,0.75
H6PD,G6PD,Others,0.516,0.646
HADHB,ACAA1,Others,0.529,0.555
HCFC2,HCFC1,Others,0.603,0.674
HDAC5,HDAC4,Others,0.705,0.728
HDAC6,HDAC10,Others,0.586,0.664
HERC4,HERC3,Others,0.5,0.75
HHATL,HHAT,Others,0.585,0.627
HIC2,HIC1,Others,0.624,0.719
HINT2,HINT1,Others,0.42,0.625
HLX,DBX1,Others,0.55,0.658
HMOX2,HMOX1,Others,0.581,0.672
HNRNPH3,HNRNPF,Others,0.658,0.688
HUS1B,HUS1,Others,0.588,0.75
ILVBL,HACL1,Others,0.502,0.519
INF2,DIAPH1,Others,0.373,0.557
ING5,ING4,Others,0.694,0.699
INVS,ANKRD55,Others,0.3,0.75
IP6K2,IP6K1,Others,0.671,0.717
IRF2BPL,IRF2BP1,Others,0.679,0.707
ITGB1BP2,CHORDC1,Others,0.535,0.558
JOSD2,JOSD1,Others,0.673,0.679
KANSL1L,KANSL1,Others,0.346,0.75
KANSL2,INO80D,Others,0.437,0.616
KCNU1,KCNMA1,Others,0.276,0.612
KCTD2,KCTD17,Others,0.584,0.7
KIDINS220,ANKS6,Others,0.312,0.375
KIF15,KIF13B,Others,0.599,0.618
KIF3B,KIF3A,Others,0.697,0.706
KIF9,KIF6,Others,0.612,0.75
KIFC3,KIFC2,Others,0.288,0.295
KLC4,KLC1,Others,0.219,0.75
KLHDC3,KLHDC10,Others,0.554,0.692
KLHL20,KLHL17,Others,0.403,0.565
KSR2,KSR1,Others,0.54,0.712
KYAT3,KYAT1,Others,0.375,0.625
LARP4B,LARP4,Others,0.661,0.684
LCMT2,LCMT1,Others,0.486,0.573
LEMD3,LEMD2,Others,0.665,0.737
LETM2,LETM1,Others,0.249,0.75
LMAN1L,LMAN1,Others,0.561,0.75
LONP2,LONP1,Others,0.526,0.529
LPIN2,LPIN1,Others,0.694,0.732
LSG1,GNL1,Others,0.555,0.593
LTK,ALK,Others,0.666,0.681
MAFK,MAFG,Others,0.67,0.698
MAP1B,MAP1A,Others,0.71,0.75
MAP3K11,MAP3K10,Others,0.644,0.671
MAP3K9,MAP3K10,Others,0.551,0.644
MAPK12,MAPK11,Others,0.663,0.682
MAPK8IP2,MAPK8IP1,Others,0.663,0.669
MAPT,MAP2,Others,0.464,0.647
MARK4,MARK3,Others,0.648,0.677
MBD3,MBD2,Others,0.641,0.696
MCL1,BCL2L1,Others,0.674,0.685
MCM8,MCM4,Others,0.625,0.657
MCM9,MCM2,Others,0.594,0.629
MCTP2,MCTP1,Others,0.683,0.75
ME3,ME2,Others,0.689,0.72
MEOX2,MEOX1,Others,0.649,0.712
MEX3C,MEX3B,Others,0.5,0.562
MEX3D,MEX3B,Others,0.583,0.6
MFAP3L,MFAP3,Others,0.589,0.65
MIB2,MIB1,Others,0.641,0.688
MICU3,MICU1,Others,0.532,0.75
MLF2,MLF1,Others,0.648,0.7
MLLT6,MLLT10,Others,0.688,0.713
MON1B,MON1A,Others,0.552,0.603
MOV10L1,MOV10,Others,0.509,0.593
MYL12B,MYL12A,Others,0.653,0.655
NAB2,NAB1,Others,0.6,0.75
NACC2,NACC1,Others,0.638,0.665
NCAM2,NCAM1,Others,0.548,0.607
NCOR2,NCOR1,Others,0.695,0.71
NDFIP2,NDFIP1,Others,0.723,0.735
NEBL,NEB,Others,0.6,0.643
NEURL1B,NEURL1,Others,0.523,0.536
NF2,EZR,Others,0.555,0.626
NFKB2,NFKB1,Others,0.593,0.721
NFXL1,NFX1,Others,0.495,0.708
NME2,NME1,Others,0.623,0.642
NME8,NME7,Others,0.423,0.444
NODAL,BMP3,Others,0.518,0.608
NOTCH2,NOTCH1,Others,0.683,0.693
NPC1L1,NPC1,Others,0.531,0.588
NPEPL1,LAP3,Others,0.406,0.75
NPNT,EGFL6,Others,0.25,0.25
NPTN,BSG,Others,0.555,0.719
NR1D2,NR1D1,Others,0.648,0.721
NRAP,NEB,Others,0.551,0.676
NUBPL,NUBP1,Others,0.591,0.598
NUDCD3,NUDC,Others,0.585,0.658
OBSL1,OBSCN,Others,0.523,0.554
ORMDL3,ORMDL1,Others,0.63,0.722
ORMDL3,ORMDL2,Others,0.635,0.75
OS9,ERLEC1,Others,0.636,0.684
OSBPL7,OSBPL3,Others,0.695,0.721
OXR1,NCOA7,Others,0.479,0.583
P3H4,CRTAP,Others,0.61,0.634
PABPC4,PABPC1L,Others,0.558,0.722
PACSIN3,PACSIN2,Others,0.661,0.72
PANK3,PANK1,Others,0.662,0.714
PANK3,PANK2,Others,0.633,0.657
PAQR4,PAQR3,Others,0.159,0.75
PARP1,BRCA1,Others,0.618,0.623
PARP2,PARP1,Others,0.602,0.75
PATL2,PATL1,Others,0.639,0.708
PBX3,PBX2,Others,0.62,0.68
PBX4,PBX2,Others,0.671,0.71
PCBD2,PCBD1,Others,0.505,0.57
PDCD2L,PDCD2,Others,0.325,0.625
PDE3B,PDE3A,Others,0.638,0.66
PDZD2,IL16,Others,0.333,0.6
PDZK1,PDZD3,Others,0.548,0.579
PHLDB2,PHLDB1,Others,0.619,0.75
PIGK,LGMN,Others,0.506,0.511
PIK3AP1,BANK1,Others,0.476,0.526
PIP5K1C,PIP5K1A,Others,0.61,0.671
PITPNM2,PITPNM1,Others,0.686,0.739
PKN3,PKN1,Others,0.596,0.722
PKN3,PKN2,Others,0.567,0.722
PLA2G12B,PLA2G12A,Others,0.269,0.565
PLD2,PLD1,Others,0.533,0.699
PLEC,DSP,Others,0.568,0.592
PLEKHA7,PLEKHA5,Others,0.536,0.583
PLEKHF2,PLEKHF1,Others,0.422,0.667
PLEKHG6,PLEKHG5,Others,0.115,0.167
PLG,LPA,Others,0.533,0.634
PLPP7,PLPP6,Others,0.396,0.667
PLXDC2,PLXDC1,Others,0.5,0.75
POLE4,NFYC,Others,0.569,0.599
POLR3A,POLR2A,Others,0.527,0.595
POLR3B,POLR2B,Others,0.519,0.52
POMGNT1,MGAT1,Others,0.569,0.573
POMT2,POMT1,Others,0.676,0.688
POU6F2,POU6F1,Others,0.646,0.703
PPARD,PPARA,Others,0.687,0.698
PPIL4,CWC27,Others,0.439,0.486
PPM1F,PPM1E,Others,0.573,0.712
PPP2CB,PPP1CC,Others,0.446,0.709
PPP3CC,PPP3CB,Others,0.664,0.731
PPP4R3B,PPP4R3A,Others,0.667,0.667
PPWD1,PPIL2,Others,0.532,0.558
PRDX3,PRDX1,Others,0.572,0.572
PRKACB,PRKACA,Others,0.646,0.722
PRKAG2,PRKAG1,Others,0.648,0.706
PROX2,PROX1,Others,0.401,0.75
PRR3,PPP1R10,Others,0.25,0.75
PSMD11,COPS2,Others,0.556,0.633
PSMD7,COPS6,Others,0.569,0.66
PTCH2,PTCH1,Others,0.556,0.734
PTDSS2,PTDSS1,Others,0.643,0.75
PTF1A,FERD3L,Others,0.672,0.688
PTPRN2,PTPRN,Others,0.365,0.412
PYGO2,PYGO1,Others,0.708,0.708
RAB11FIP4,RAB11FIP3,Others,0.671,0.721
RAB40C,RAB40B,Others,0.565,0.75
RABGGTB,PGGT1B,Others,0.499,0.531
RAD21L1,RAD21,Others,0.506,0.75
RAD9B,RAD9A,Others,0.704,0.75
RAE1,BUB3,Others,0.55,0.581
RAPH1,APBB1IP,Others,0.708,0.708
RARG,RARA,Others,0.623,0.736
RBL2,RBL1,Others,0.688,0.708
RBM4B,RBM4,Others,0.631,0.722
RBMS2,RBMS1,Others,0.713,0.75
RBMXL3,RBMXL2,Others,0.75,0.75
RERE,ATN1,Others,0.583,0.75
RFX2,RFX1,Others,0.695,0.719
RFX7,RFX5,Others,0.629,0.75
RFXANK,ANKRA2,Others,0.575,0.594
RGS14,RGS12,Others,0.6,0.625
RHOG,RHOC,Others,0.683,0.692
RIOK3,RIOK1,Others,0.658,0.695
RNF145,RNF139,Others,0.284,0.75
RNF19B,RNF19A,Others,0.654,0.694
RNF24,RNF122,Others,0.5,0.65
RNF5,RNF185,Others,0.713,0.726
RPA4,RPA2,Others,0.653,0.742
RPGR,RCC1,Others,0.501,0.554
RPL7L1,RPL7,Others,0.523,0.75
RRP1B,RRP1,Others,0.624,0.75
RTCA,RCL1,Others,0.341,0.438
RUFY4,FYCO1,Others,0.587,0.624
RUSC2,RUSC1,Others,0.585,0.638
SAMD7,SAMD11,Others,0.75,0.75
SBNO2,SBNO1,Others,0.612,0.685
SCAF8,SCAF4,Others,0.541,0.708
SCAMP3,SCAMP2,Others,0.697,0.714
SCRIB,LRRC7,Others,0.549,0.578
SCYL3,SCYL1,Others,0.458,0.5
SDC3,SDC1,Others,0.656,0.729
SEC31B,SEC31A,Others,0.565,0.75
SERINC3,SERINC1,Others,0.361,0.75
SESN2,SESN1,Others,0.706,0.714
SETDB2,SETDB1,Others,0.687,0.708
SF3B3,DDB1,Others,0.525,0.593
SH3KBP1,CD2AP,Others,0.591,0.651
SHCBP1L,SHCBP1,Others,0.548,0.633
SIN3B,SIN3A,Others,0.571,0.75
SIPA1L3,SIPA1L1,Others,0.543,0.544
SIRT7,SIRT6,Others,0.63,0.638
SIX5,SIX4,Others,0.662,0.688
SKIL,SKI,Others,0.659,0.75
SKOR2,SKOR1,Others,0.716,0.724
SLC12A6,SLC12A4,Others,0.613,0.619
SLC25A25,SLC25A23,Others,0.2,0.75
SLC25A25,SLC25A24,Others,0.205,0.75
SLC30A10,SLC30A1,Others,0.613,0.641
SLC31A2,SLC31A1,Others,0.673,0.7
SLC35B2,SLC35B1,Others,0.551,0.64
SLC35B3,SLC35B1,Others,0.59,0.626
SLC36A4,SLC36A1,Others,0.64,0.67
SLC4A1AP,PPP1R8,Others,0.5,0.65
SLC4A3,SLC4A2,Others,0.619,0.644
SMAD2,SMAD1,Others,0.688,0.715
SMARCD2,SMARCD1,Others,0.655,0.68
SMC1B,SMC1A,Others,0.559,0.75
SNAP91,PICALM,Others,0.546,0.746
SNRK,MELK,Others,0.618,0.68
SNRNP200,ASCC3,Others,0.591,0.625
SNRNP70,SNRNP35,Others,0.599,0.668
SNRPF,LSM6,Others,0.629,0.65
SNTB2,SNTA1,Others,0.468,0.562
SNX6,SNX5,Others,0.624,0.64
SOAT2,SOAT1,Others,0.728,0.729
SOGA1,MTCL1,Others,0.489,0.502
SORBS2,SORBS1,Others,0.444,0.458
SPARCL1,SPARC,Others,0.542,0.687
SPECC1L,SPECC1,Others,0.582,0.607
SPG7,AFG3L2,Others,0.7,0.707
SPHK2,SPHK1,Others,0.643,0.662
SPIRE2,SPIRE1,Others,0.676,0.75
SPRYD3,RANBP9,Others,0.408,0.75
SREBF2,SREBF1,Others,0.666,0.683
SRSF11,SREK1,Others,0.474,0.75
SRSF5,SRSF4,Others,0.718,0.722
STAT3,STAT1,Others,0.66,0.662
STAU2,STAU1,Others,0.514,0.688
STIM2,STIM1,Others,0.648,0.731
STK17B,STK17A,Others,0.722,0.75
STK35,PDIK1L,Others,0.731,0.75
STK38L,STK38,Others,0.705,0.75
STRAP,EIF3I,Others,0.516,0.537
STT3B,STT3A,Others,0.706,0.731
SUSD2,MUC4,Others,0.473,0.478
SYNGR3,SYNGR2,Others,0.594,0.625
SYNJ2,SYNJ1,Others,0.639,0.712
SYT13,SYT12,Others,0.688,0.731
TADA2B,TADA2A,Others,0.706,0.714
TAF4B,TAF4,Others,0.664,0.696
TAGAP,ARHGAP20,Others,0.679,0.75
TARDBP,DAZAP1,Others,0.606,0.618
TATDN2,TATDN1,Others,0.2,0.25
TBC1D17,TBC1D15,Others,0.577,0.75
TBC1D4,TBC1D1,Others,0.609,0.636
TCF3,TCF12,Others,0.675,0.692
TECRL,TECR,Others,0.536,0.75
TEP1,RRP9,Others,0.515,0.531
TESK2,TESK1,Others,0.586,0.688
TFB1M,DIMT1,Others,0.619,0.63
TGFBI,POSTN,Others,0.633,0.715
THSD7A,SPON1,Others,0.443,0.516
TINAGL1,TINAG,Others,0.471,0.51
TJP2,TJP1,Others,0.654,0.669
TM2D3,TM2D1,Others,0.105,0.157
TMEM14C,TMEM14A,Others,0.565,0.688
TMEM14C,TMEM14B,Others,0.609,0.75
TMEM170B,TMEM170A,Others,0.561,0.588
TMEM87B,TMEM87A,Others,0.688,0.75
TNK2,TNK1,Others,0.65,0.715
TNPO3,IPO13,Others,0.625,0.75
TOP3B,TOP3A,Others,0.479,0.65
TP53I3,RTN4IP1,Others,0.423,0.5
TP53INP2,TP53INP1,Others,0.636,0.75
TPM4,TPM3,Others,0.695,0.7
TRIM5,TRIM34,Others,0.679,0.726
TRIOBP,MPRIP,Others,0.663,0.67
TRIP12,HECTD1,Others,0.366,0.667
TSPAN17,TSPAN14,Others,0.505,0.724
TSPYL4,TSPYL1,Others,0.577,0.7
TTBK2,TTBK1,Others,0.571,0.596
TTLL4,TTLL11,Others,0.75,0.75
TUBGCP3,TUBGCP2,Others,0.677,0.711
TUFM,EEFSEC,Others,0.385,0.727
TXNL4B,TXNL4A,Others,0.568,0.75
UBA5,MOCS3,Others,0.579,0.593
UBE2R2,CDC34,Others,0.702,0.747
UBE2U,UBE2C,Others,0.478,0.677
UBN2,UBN1,Others,0.444,0.5
UBP1,TFCP2,Others,0.678,0.735
UBR2,UBR1,Others,0.701,0.75
UCKL1,UCK2,Others,0.636,0.65
UHMK1,U2AF2,Others,0.529,0.583
UNKL,UNK,Others,0.327,0.33
UQCRC2,PMPCA,Others,0.616,0.62
USH1G,ANKS4B,Others,0.51,0.546
USH2A,MEGF9,Others,0.508,0.621
USP45,USP16,Others,0.642,0.678
USP54,USP53,Others,0.214,0.75
USP6NL,USP6,Others,0.561,0.589
